Year,Géographie,Situation géographique,Régions métropolitaines de recensement sélectionnées,Mode d'occupation,Certaines populations vulnérables en matière de logement,GeoCode,Value
2018,Canada (provinces seulement),Total,,Propriétaire,,,6.1
2018,Canada (provinces seulement),Total,,Propriétaire qui est un accédant à la propriété,,,6.4
2018,Canada (provinces seulement),Total,,Propriétaire qui n'est pas un accédant à la propriété,,,6.1
2018,Canada (provinces seulement),Total,,Locataire,,,22.0
2018,Canada (provinces seulement),Total,,Locataire n'habitant pas dans un logement social et abordable,,,21.0
2018,Canada (provinces seulement),Total,,Locataire habitant dans un logement social et abordable,,,32.0
2018,Terre-Neuve-et-Labrador,Total,,"Total, mode d'occupation",,10,8.9
2018,Terre-Neuve-et-Labrador,Total,,Propriétaire,,10,4.4
2018,Terre-Neuve-et-Labrador,Total,,Propriétaire qui est un accédant à la propriété,,10,
2018,Terre-Neuve-et-Labrador,Total,,Propriétaire qui n'est pas un accédant à la propriété,,10,4.7
2018,Terre-Neuve-et-Labrador,Total,,Locataire,,10,26.0
2018,Terre-Neuve-et-Labrador,Total,,Locataire n'habitant pas dans un logement social et abordable,,10,23.0
2018,Terre-Neuve-et-Labrador,Total,,Locataire habitant dans un logement social et abordable,,10,38.0
2018,Terre-Neuve-et-Labrador,Grands centres de population urbains,,"Total, mode d'occupation",,,10.3
2018,Terre-Neuve-et-Labrador,Grands centres de population urbains,,Propriétaire,,,3.7
2018,Terre-Neuve-et-Labrador,Grands centres de population urbains,,Propriétaire qui est un accédant à la propriété,,,
2018,Terre-Neuve-et-Labrador,Grands centres de population urbains,,Propriétaire qui n'est pas un accédant à la propriété,,,4.2
2018,Terre-Neuve-et-Labrador,Grands centres de population urbains,,Locataire,,,26.0
2018,Terre-Neuve-et-Labrador,Grands centres de population urbains,,Locataire n'habitant pas dans un logement social et abordable,,,23.0
2018,Terre-Neuve-et-Labrador,Grands centres de population urbains,,Locataire habitant dans un logement social et abordable,,,38.0
2018,Terre-Neuve-et-Labrador,Petits centres de population,,"Total, mode d'occupation",,,9.1
2018,Terre-Neuve-et-Labrador,Petits centres de population,,Propriétaire,,,2.7
2018,Terre-Neuve-et-Labrador,Petits centres de population,,Propriétaire qui est un accédant à la propriété,,,
2018,Terre-Neuve-et-Labrador,Petits centres de population,,Propriétaire qui n'est pas un accédant à la propriété,,,3.0
2018,Terre-Neuve-et-Labrador,Petits centres de population,,Locataire,,,27.0
2018,Terre-Neuve-et-Labrador,Petits centres de population,,Locataire n'habitant pas dans un logement social et abordable,,,24.0
2018,Terre-Neuve-et-Labrador,Petits centres de population,,Locataire habitant dans un logement social et abordable,,,35.0
2018,Terre-Neuve-et-Labrador,Régions rurales,,"Total, mode d'occupation",,,7.6
2018,Terre-Neuve-et-Labrador,Régions rurales,,Propriétaire,,,6.0
2018,Terre-Neuve-et-Labrador,Régions rurales,,Propriétaire qui est un accédant à la propriété,,,
2018,Terre-Neuve-et-Labrador,Régions rurales,,Propriétaire qui n'est pas un accédant à la propriété,,,6.0
2018,Terre-Neuve-et-Labrador,Régions rurales,,Locataire,,,24.0
2018,Terre-Neuve-et-Labrador,Régions rurales,,Locataire n'habitant pas dans un logement social et abordable,,,20.0
2018,Terre-Neuve-et-Labrador,Régions rurales,,Locataire habitant dans un logement social et abordable,,,55.0
2018,Île-du-Prince-Édouard,Total,,"Total, mode d'occupation",,11,8.9
2018,Île-du-Prince-Édouard,Total,,Propriétaire,,11,6.9
2018,Île-du-Prince-Édouard,Total,,Propriétaire qui est un accédant à la propriété,,11,4.8
2018,Île-du-Prince-Édouard,Total,,Propriétaire qui n'est pas un accédant à la propriété,,11,7.1
2018,Île-du-Prince-Édouard,Total,,Locataire,,11,13.8
2018,Île-du-Prince-Édouard,Total,,Locataire n'habitant pas dans un logement social et abordable,,11,12.2
2018,Île-du-Prince-Édouard,Total,,Locataire habitant dans un logement social et abordable,,11,23.0
2018,Île-du-Prince-Édouard,Moyens centres de population,,"Total, mode d'occupation",,,9.3
2018,Île-du-Prince-Édouard,Moyens centres de population,,Propriétaire,,,4.4
2018,Île-du-Prince-Édouard,Moyens centres de population,,Propriétaire qui est un accédant à la propriété,,,6.1
2018,Île-du-Prince-Édouard,Moyens centres de population,,Propriétaire qui n'est pas un accédant à la propriété,,,4.0
2018,Île-du-Prince-Édouard,Moyens centres de population,,Locataire,,,15.5
2018,Île-du-Prince-Édouard,Moyens centres de population,,Locataire n'habitant pas dans un logement social et abordable,,,12.9
2018,Île-du-Prince-Édouard,Moyens centres de population,,Locataire habitant dans un logement social et abordable,,,31.0
2018,Île-du-Prince-Édouard,Petits centres de population,,"Total, mode d'occupation",,,7.6
2018,Île-du-Prince-Édouard,Petits centres de population,,Propriétaire,,,7.3
2018,Île-du-Prince-Édouard,Petits centres de population,,Propriétaire qui est un accédant à la propriété,,,
2018,Île-du-Prince-Édouard,Petits centres de population,,Propriétaire qui n'est pas un accédant à la propriété,,,8.2
2018,Île-du-Prince-Édouard,Petits centres de population,,Locataire,,,8.2
2018,Île-du-Prince-Édouard,Petits centres de population,,Locataire n'habitant pas dans un logement social et abordable,,,6.7
2018,Île-du-Prince-Édouard,Petits centres de population,,Locataire habitant dans un logement social et abordable,,,14.6
2018,Île-du-Prince-Édouard,Régions rurales,,"Total, mode d'occupation",,,8.8
2018,Île-du-Prince-Édouard,Régions rurales,,Propriétaire,,,8.0
2018,Île-du-Prince-Édouard,Régions rurales,,Propriétaire qui est un accédant à la propriété,,,
2018,Île-du-Prince-Édouard,Régions rurales,,Propriétaire qui n'est pas un accédant à la propriété,,,8.3
2018,Île-du-Prince-Édouard,Régions rurales,,Locataire,,,14.1
2018,Île-du-Prince-Édouard,Régions rurales,,Locataire n'habitant pas dans un logement social et abordable,,,14.4
2018,Île-du-Prince-Édouard,Régions rurales,,Locataire habitant dans un logement social et abordable,,,12.2
2018,Nouvelle-Écosse,Total,,"Total, mode d'occupation",,12,11.0
2018,Nouvelle-Écosse,Total,,Propriétaire,,12,5.2
2018,Nouvelle-Écosse,Total,,Propriétaire qui est un accédant à la propriété,,12,4.9
2018,Nouvelle-Écosse,Total,,Propriétaire qui n'est pas un accédant à la propriété,,12,5.2
2018,Nouvelle-Écosse,Total,,Locataire,,12,25.0
2018,Nouvelle-Écosse,Total,,Locataire n'habitant pas dans un logement social et abordable,,12,22.0
2018,Nouvelle-Écosse,Total,,Locataire habitant dans un logement social et abordable,,12,43.0
2018,Nouvelle-Écosse,Grands centres de population urbains,,"Total, mode d'occupation",,,14.7
2018,Nouvelle-Écosse,Grands centres de population urbains,,Propriétaire,,,5.1
2018,Nouvelle-Écosse,Grands centres de population urbains,,Propriétaire qui est un accédant à la propriété,,,3.0
2018,Nouvelle-Écosse,Grands centres de population urbains,,Propriétaire qui n'est pas un accédant à la propriété,,,5.5
2018,Nouvelle-Écosse,Grands centres de population urbains,,Locataire,,,26.0
2018,Nouvelle-Écosse,Grands centres de population urbains,,Locataire n'habitant pas dans un logement social et abordable,,,24.0
2018,Nouvelle-Écosse,Grands centres de population urbains,,Locataire habitant dans un logement social et abordable,,,45.0
