Year,Géographie,Groupe d'âge,Genre,GeoCode,Value
2015,,,,,13.0
2016,,,,,13.0
2017,,,,,12.0
2018,,,,,12.0
2019,,,,,11.0
2020,,,,,14.0
2021,,,,,14.0
2022,,,,,11.0
2023,,,,,11.0
2024,,,,,12.0
2025,,,,,12.0
2015,Canada,"Total, 15 à 29 ans",Hommes+,,13.0
2015,Canada,"Total, 15 à 29 ans",Femmes+,,13.0
2015,Canada,15 à 19 ans,Total - Genre,,7.0
2015,Canada,15 à 19 ans,Hommes+,,7.0
2015,Canada,15 à 19 ans,Femmes+,,6.0
2015,Canada,15 à 24 ans,Total - Genre,,11.0
2015,Canada,15 à 24 ans,Hommes+,,12.0
2015,Canada,15 à 24 ans,Femmes+,,9.0
2015,Canada,18 à 24 ans,Total - Genre,,13.0
2015,Canada,18 à 24 ans,Hommes+,,14.0
2015,Canada,18 à 24 ans,Femmes+,,11.0
2015,Canada,20 à 24 ans,Total - Genre,,14.0
2015,Canada,20 à 24 ans,Hommes+,,15.0
2015,Canada,20 à 24 ans,Femmes+,,12.0
2015,Canada,25 à 29 ans,Total - Genre,,17.0
2015,Canada,25 à 29 ans,Hommes+,,16.0
2015,Canada,25 à 29 ans,Femmes+,,18.0
2015,Terre-Neuve-et-Labrador,"Total, 15 à 29 ans",Total - Genre,10,17.0
2015,Terre-Neuve-et-Labrador,"Total, 15 à 29 ans",Hommes+,10,19.0
2015,Terre-Neuve-et-Labrador,"Total, 15 à 29 ans",Femmes+,10,15.0
2015,Terre-Neuve-et-Labrador,15 à 19 ans,Total - Genre,10,7.0
2015,Terre-Neuve-et-Labrador,15 à 19 ans,Hommes+,10,10.0
2015,Terre-Neuve-et-Labrador,15 à 19 ans,Femmes+,10,
2015,Terre-Neuve-et-Labrador,15 à 24 ans,Total - Genre,10,14.0
2015,Terre-Neuve-et-Labrador,15 à 24 ans,Hommes+,10,18.0
2015,Terre-Neuve-et-Labrador,15 à 24 ans,Femmes+,10,10.0
2015,Terre-Neuve-et-Labrador,18 à 24 ans,Total - Genre,10,19.0
2015,Terre-Neuve-et-Labrador,18 à 24 ans,Hommes+,10,24.0
2015,Terre-Neuve-et-Labrador,18 à 24 ans,Femmes+,10,13.0
2015,Terre-Neuve-et-Labrador,20 à 24 ans,Total - Genre,10,21.0
2015,Terre-Neuve-et-Labrador,20 à 24 ans,Hommes+,10,26.0
2015,Terre-Neuve-et-Labrador,20 à 24 ans,Femmes+,10,15.0
2015,Terre-Neuve-et-Labrador,25 à 29 ans,Total - Genre,10,23.0
2015,Terre-Neuve-et-Labrador,25 à 29 ans,Hommes+,10,22.0
2015,Terre-Neuve-et-Labrador,25 à 29 ans,Femmes+,10,24.0
2015,Île-du-Prince-Édouard,"Total, 15 à 29 ans",Total - Genre,11,15.0
2015,Île-du-Prince-Édouard,"Total, 15 à 29 ans",Hommes+,11,15.0
2015,Île-du-Prince-Édouard,"Total, 15 à 29 ans",Femmes+,11,14.0
2015,Île-du-Prince-Édouard,15 à 19 ans,Total - Genre,11,7.0
2015,Île-du-Prince-Édouard,15 à 19 ans,Hommes+,11,
2015,Île-du-Prince-Édouard,15 à 19 ans,Femmes+,11,
2015,Île-du-Prince-Édouard,15 à 24 ans,Total - Genre,11,13.0
2015,Île-du-Prince-Édouard,15 à 24 ans,Hommes+,11,16.0
2015,Île-du-Prince-Édouard,15 à 24 ans,Femmes+,11,10.0
2015,Île-du-Prince-Édouard,18 à 24 ans,Total - Genre,11,17.0
2015,Île-du-Prince-Édouard,18 à 24 ans,Hommes+,11,22.0
2015,Île-du-Prince-Édouard,18 à 24 ans,Femmes+,11,12.0
2015,Île-du-Prince-Édouard,20 à 24 ans,Total - Genre,11,18.0
2015,Île-du-Prince-Édouard,20 à 24 ans,Hommes+,11,24.0
2015,Île-du-Prince-Édouard,20 à 24 ans,Femmes+,11,12.0
2015,Île-du-Prince-Édouard,25 à 29 ans,Total - Genre,11,19.0
2015,Île-du-Prince-Édouard,25 à 29 ans,Hommes+,11,15.0
2015,Île-du-Prince-Édouard,25 à 29 ans,Femmes+,11,23.0
2015,Nouvelle-Écosse,"Total, 15 à 29 ans",Total - Genre,12,13.0
