Year,Units,Géographie,Infractions,Âge de l'accusé,Sexe de l'accusé,Value
2014/2015,Tribunaux pour adultes,,,,,123.0
2015/2016,Tribunaux pour adultes,,,,,126.0
2016/2017,Tribunaux pour adultes,,,,,136.0
2017/2018,Tribunaux pour adultes,,,,,138.0
2018/2019,Tribunaux pour adultes,,,,,139.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Hommes,124.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Hommes,127.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Hommes,138.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Hommes,140.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Hommes,141.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Femmes,113.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Femmes,114.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Femmes,127.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Femmes,129.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Femmes,133.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Sociétés,215.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Sociétés,239.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Sociétés,205.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Sociétés,344.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Sociétés,243.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Sexe inconnu,148.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Sexe inconnu,148.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Sexe inconnu,155.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Sexe inconnu,138.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Sexe inconnu,137.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,"Total, le sexe de l'accusé",129.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,"Total, le sexe de l'accusé",133.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,"Total, le sexe de l'accusé",148.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,"Total, le sexe de l'accusé",149.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,"Total, le sexe de l'accusé",154.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Hommes,131.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Hommes,135.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Hommes,149.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Hommes,154.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Hommes,158.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Femmes,115.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Femmes,116.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Femmes,129.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Femmes,136.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Femmes,139.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Sexe inconnu,154.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Sexe inconnu,148.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Sexe inconnu,162.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Sexe inconnu,149.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Sexe inconnu,154.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,"Total, le sexe de l'accusé",121.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,"Total, le sexe de l'accusé",126.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,"Total, le sexe de l'accusé",134.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,"Total, le sexe de l'accusé",135.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,"Total, le sexe de l'accusé",139.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Hommes,121.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Hommes,126.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Hommes,134.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Hommes,137.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Hommes,140.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Femmes,113.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Femmes,119.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Femmes,128.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Femmes,132.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Femmes,135.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Sexe inconnu,148.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Sexe inconnu,149.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Sexe inconnu,151.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Sexe inconnu,135.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Sexe inconnu,136.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,"Total, le sexe de l'accusé",123.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,"Total, le sexe de l'accusé",125.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,"Total, le sexe de l'accusé",134.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,"Total, le sexe de l'accusé",134.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,"Total, le sexe de l'accusé",134.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Hommes,123.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Hommes,124.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Hommes,134.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Hommes,136.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Hommes,135.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Femmes,116.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Femmes,120.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Femmes,127.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Femmes,132.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Femmes,133.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Sexe inconnu,149.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Sexe inconnu,155.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Sexe inconnu,142.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Sexe inconnu,131.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Sexe inconnu,134.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",120.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",123.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",137.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",139.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",138.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Hommes,121.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Hommes,123.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Hommes,139.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Hommes,141.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Hommes,140.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Femmes,107.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Femmes,118.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Femmes,125.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Femmes,129.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Femmes,132.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Sexe inconnu,147.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Sexe inconnu,148.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Sexe inconnu,160.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Sexe inconnu,135.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Sexe inconnu,140.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",107.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",113.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",120.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",120.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",120.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Hommes,111.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Hommes,116.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Hommes,124.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Hommes,121.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Hommes,122.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Femmes,91.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Femmes,85.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Femmes,96.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Femmes,99.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Femmes,101.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Sexe inconnu,138.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Sexe inconnu,157.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Sexe inconnu,162.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Sexe inconnu,134.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Sexe inconnu,124.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",122.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",125.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",134.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",136.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",138.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,124.0
2015/2016,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,126.0
2016/2017,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,136.0
2017/2018,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,140.0
2018/2019,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,141.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,108.0
