Year,Géographie,Groupe d'âge,Sexe,Value
2015,,,,93.2
2016,,,,92.5
2017,,,,92.9
2018,,,,93.4
2019,,,,93.4
2015,Canada,"Total, 12 ans et plus",Hommes,93.4
2016,Canada,"Total, 12 ans et plus",Hommes,92.6
2017,Canada,"Total, 12 ans et plus",Hommes,92.8
2018,Canada,"Total, 12 ans et plus",Hommes,94.0
2019,Canada,"Total, 12 ans et plus",Hommes,93.6
2015,Canada,"Total, 12 ans et plus",Femmes,93.0
2016,Canada,"Total, 12 ans et plus",Femmes,92.5
2017,Canada,"Total, 12 ans et plus",Femmes,93.0
2018,Canada,"Total, 12 ans et plus",Femmes,92.8
2019,Canada,"Total, 12 ans et plus",Femmes,93.2
2015,Canada,12 à 17 ans,Les deux sexes,97.7
2016,Canada,12 à 17 ans,Les deux sexes,97.6
2017,Canada,12 à 17 ans,Les deux sexes,97.9
2018,Canada,12 à 17 ans,Les deux sexes,97.7
2019,Canada,12 à 17 ans,Les deux sexes,97.8
2015,Canada,12 à 17 ans,Hommes,97.8
2016,Canada,12 à 17 ans,Hommes,97.9
2017,Canada,12 à 17 ans,Hommes,98.4
2018,Canada,12 à 17 ans,Hommes,98.1
2019,Canada,12 à 17 ans,Hommes,98.3
2015,Canada,12 à 17 ans,Femmes,97.6
2016,Canada,12 à 17 ans,Femmes,97.3
2017,Canada,12 à 17 ans,Femmes,97.3
2018,Canada,12 à 17 ans,Femmes,97.3
2019,Canada,12 à 17 ans,Femmes,97.3
2015,Canada,18 à 34 ans,Les deux sexes,95.9
2016,Canada,18 à 34 ans,Les deux sexes,94.9
2017,Canada,18 à 34 ans,Les deux sexes,95.0
2018,Canada,18 à 34 ans,Les deux sexes,95.3
2019,Canada,18 à 34 ans,Les deux sexes,95.0
2015,Canada,18 à 34 ans,Hommes,96.1
2016,Canada,18 à 34 ans,Hommes,93.9
2017,Canada,18 à 34 ans,Hommes,94.7
2018,Canada,18 à 34 ans,Hommes,95.7
2019,Canada,18 à 34 ans,Hommes,95.3
2015,Canada,18 à 34 ans,Femmes,95.6
