Year,Géographie,Caractéristiques de la population,Niveau de scolarité,Groupe d'âge,Sexe,GeoCode,Value
2010,,,,,,,50.0
2011,,,,,,,51.0
2012,,,,,,,52.0
2013,,,,,,,53.0
2014,,,,,,,53.0
2015,,,,,,,55.0
2016,,,,,,,56.0
2017,,,,,,,56.0
2018,,,,,,,58.0
2019,,,,,,,59.0
2020,,,,,,,60.0
2021,,,,,,,62.0
2022,,,,,,,63.0
2023,,,,,,,63.0
2010,Canada,Population totale,Études tertiaires,"Total, 25 à 64 ans",Homme,,45.0
2010,Canada,Population totale,Études tertiaires,"Total, 25 à 64 ans",Femme,,55.0
2010,Canada,Population totale,Études tertiaires,25 à 34 ans,Les deux sexes,,57.0
2010,Canada,Population totale,Études tertiaires,25 à 34 ans,Homme,,49.0
2010,Canada,Population totale,Études tertiaires,25 à 34 ans,Femme,,64.0
2010,Canada,Population totale,Études tertiaires,30 à 34 ans,Les deux sexes,,58.0
2010,Canada,Population totale,Études tertiaires,30 à 34 ans,Homme,,51.0
2010,Canada,Population totale,Études tertiaires,30 à 34 ans,Femme,,65.0
2010,Canada,Population totale,Études tertiaires,35 à 44 ans,Les deux sexes,,56.0
2010,Canada,Population totale,Études tertiaires,35 à 44 ans,Homme,,50.0
2010,Canada,Population totale,Études tertiaires,35 à 44 ans,Femme,,63.0
2010,Canada,Population totale,Études tertiaires,45 à 54 ans,Les deux sexes,,46.0
2010,Canada,Population totale,Études tertiaires,45 à 54 ans,Homme,,42.0
2010,Canada,Population totale,Études tertiaires,45 à 54 ans,Femme,,50.0
2010,Canada,Population totale,Études tertiaires,55 à 64 ans,Les deux sexes,,42.0
2010,Canada,Population totale,Études tertiaires,55 à 64 ans,Homme,,41.0
2010,Canada,Population totale,Études tertiaires,55 à 64 ans,Femme,,43.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,"Total, 25 à 64 ans",Les deux sexes,,24.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,"Total, 25 à 64 ans",Homme,,20.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,"Total, 25 à 64 ans",Femme,,28.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,25 à 34 ans,Les deux sexes,,26.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,25 à 34 ans,Homme,,22.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,25 à 34 ans,Femme,,29.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,30 à 34 ans,Les deux sexes,,27.0
2010,Canada,Population totale,Enseignement tertiaire de cycle court,30 à 34 ans,Homme,,23.0
