Year,Géographie,Groupe d'âge,Genre,Groupe autochtone,Niveau de scolarité atteint,Minorité visible,Status d'immigrant,GeoCode,Value
2015,,,,,,,,,61.4
2016,,,,,,,,,61.1
2017,,,,,,,,,61.7
2018,,,,,,,,,61.9
2019,,,,,,,,,62.3
2020,,,,,,,,,58.1
2021,,,,,,,,,60.5
2022,,,,,,,,,62.0
2023,,,,,,,,,62.2
2024,,,,,,,,,61.3
2025,,,,,,,,,60.8
2015,Terre-Neuve-et-Labrador,,,,,,,10,53.7
2015,Île-du-Prince-Édouard,,,,,,,11,60.7
2015,Nouvelle-Écosse,,,,,,,12,57.1
2015,Nouveau-Brunswick,,,,,,,13,56.5
2015,Québec,,,,,,,24,59.9
2015,Ontario,,,,,,,35,60.9
2015,Manitoba,,,,,,,46,64.8
2015,Saskatchewan,,,,,,,47,66.3
2015,Alberta,,,,,,,48,68.8
2015,Colombie-Britannique,,,,,,,59,60.2
2015,Yukon,,,,,,,60,69.8
2015,Territoires du Nord-Ouest,,,,,,,61,69.7
2015,Nunavut,,,,,,,62,53.7
2016,Terre-Neuve-et-Labrador,,,,,,,10,52.4
2016,Île-du-Prince-Édouard,,,,,,,11,59.4
2016,Nouvelle-Écosse,,,,,,,12,56.5
2016,Nouveau-Brunswick,,,,,,,13,56.7
2016,Québec,,,,,,,24,59.9
2016,Ontario,,,,,,,35,60.7
2016,Manitoba,,,,,,,46,63.9
2016,Saskatchewan,,,,,,,47,65.2
2016,Alberta,,,,,,,48,66.3
2016,Colombie-Britannique,,,,,,,59,61.2
2016,Yukon,,,,,,,60,71.9
2016,Territoires du Nord-Ouest,,,,,,,61,69.6
2016,Nunavut,,,,,,,62,56.3
2017,Terre-Neuve-et-Labrador,,,,,,,10,50.5
2017,Île-du-Prince-Édouard,,,,,,,11,60.1
2017,Nouvelle-Écosse,,,,,,,12,56.3
2017,Nouveau-Brunswick,,,,,,,13,56.8
2017,Québec,,,,,,,24,60.9
2017,Ontario,,,,,,,35,61.2
2017,Manitoba,,,,,,,46,64.0
2017,Saskatchewan,,,,,,,47,64.8
2017,Alberta,,,,,,,48,66.3
2017,Colombie-Britannique,,,,,,,59,62.6
2017,Yukon,,,,,,,60,73.6
2017,Territoires du Nord-Ouest,,,,,,,61,66.7
2017,Nunavut,,,,,,,62,55.1
2018,Terre-Neuve-et-Labrador,,,,,,,10,50.8
2018,Île-du-Prince-Édouard,,,,,,,11,60.5
2018,Nouvelle-Écosse,,,,,,,12,56.5
2018,Nouveau-Brunswick,,,,,,,13,56.5
2018,Québec,,,,,,,24,61.5
2018,Ontario,,,,,,,35,61.2
2018,Manitoba,,,,,,,46,63.5
2018,Saskatchewan,,,,,,,47,64.6
2018,Alberta,,,,,,,48,67.1
2018,Colombie-Britannique,,,,,,,59,62.6
2018,Yukon,,,,,,,60,72.0
2018,Territoires du Nord-Ouest,,,,,,,61,67.2
2018,Nunavut,,,,,,,62,54.8
2019,Terre-Neuve-et-Labrador,,,,,,,10,51.5
2019,Île-du-Prince-Édouard,,,,,,,11,60.7
2019,Nouvelle-Écosse,,,,,,,12,57.3
2019,Nouveau-Brunswick,,,,,,,13,56.4
2019,Québec,,,,,,,24,61.8
2019,Ontario,,,,,,,35,61.6
2019,Manitoba,,,,,,,46,63.5
2019,Saskatchewan,,,,,,,47,65.2
2019,Alberta,,,,,,,48,66.8
2019,Colombie-Britannique,,,,,,,59,63.3
2019,Yukon,,,,,,,60,73.0
2019,Territoires du Nord-Ouest,,,,,,,61,67.8
2019,Nunavut,,,,,,,62,55.2
2020,Terre-Neuve-et-Labrador,,,,,,,10,48.4
2020,Île-du-Prince-Édouard,,,,,,,11,57.8
2020,Nouvelle-Écosse,,,,,,,12,54.4
2020,Nouveau-Brunswick,,,,,,,13,54.3
2020,Québec,,,,,,,24,58.2
2020,Ontario,,,,,,,35,57.5
2020,Manitoba,,,,,,,46,60.3
2020,Saskatchewan,,,,,,,47,61.7
2020,Alberta,,,,,,,48,61.1
2020,Colombie-Britannique,,,,,,,59,58.6
2020,Yukon,,,,,,,60,68.0
2020,Territoires du Nord-Ouest,,,,,,,61,64.2
2020,Nunavut,,,,,,,62,49.6
2021,Terre-Neuve-et-Labrador,,,,,,,10,50.0
2021,Île-du-Prince-Édouard,,,,,,,11,59.3
2021,Nouvelle-Écosse,,,,,,,12,57.1
2021,Nouveau-Brunswick,,,,,,,13,55.7
2021,Québec,,,,,,,24,60.3
2021,Ontario,,,,,,,35,59.9
2021,Manitoba,,,,,,,46,62.5
2021,Saskatchewan,,,,,,,47,63.1
2021,Alberta,,,,,,,48,63.7
2021,Colombie-Britannique,,,,,,,59,61.6
2021,Yukon,,,,,,,60,69.3
2021,Territoires du Nord-Ouest,,,,,,,61,69.0
2021,Nunavut,,,,,,,62,55.8
2022,Terre-Neuve-et-Labrador,,,,,,,10,51.7
2022,Île-du-Prince-Édouard,,,,,,,11,60.2
2022,Nouvelle-Écosse,,,,,,,12,57.7
2022,Nouveau-Brunswick,,,,,,,13,56.1
2022,Québec,,,,,,,24,61.6
2022,Ontario,,,,,,,35,61.8
2022,Manitoba,,,,,,,46,63.7
2022,Saskatchewan,,,,,,,47,64.6
2022,Alberta,,,,,,,48,65.5
2022,Colombie-Britannique,,,,,,,59,62.5
2022,Yukon,,,,,,,60,70.4
2022,Territoires du Nord-Ouest,,,,,,,61,72.2
2022,Nunavut,,,,,,,62,54.8
2023,Terre-Neuve-et-Labrador,,,,,,,10,51.8
2023,Île-du-Prince-Édouard,,,,,,,11,61.4
2023,Nouvelle-Écosse,,,,,,,12,57.6
2023,Nouveau-Brunswick,,,,,,,13,56.4
2023,Québec,,,,,,,24,62.4
2023,Ontario,,,,,,,35,62.0
2023,Manitoba,,,,,,,46,63.8
2023,Saskatchewan,,,,,,,47,64.0
2023,Alberta,,,,,,,48,65.4
2023,Colombie-Britannique,,,,,,,59,62.4
2023,Yukon,,,,,,,60,71.4
2023,Territoires du Nord-Ouest,,,,,,,61,69.9
2023,Nunavut,,,,,,,62,53.7
2024,Terre-Neuve-et-Labrador,,,,,,,10,52.5
2024,Île-du-Prince-Édouard,,,,,,,11,61.3
2024,Nouvelle-Écosse,,,,,,,12,57.8
2024,Nouveau-Brunswick,,,,,,,13,56.3
2024,Québec,,,,,,,24,61.4
2024,Ontario,,,,,,,35,60.7
2024,Manitoba,,,,,,,46,63.1
2024,Saskatchewan,,,,,,,47,63.7
2024,Alberta,,,,,,,48,64.4
2024,Colombie-Britannique,,,,,,,59,61.6
2024,Yukon,,,,,,,60,73.0
2024,Territoires du Nord-Ouest,,,,,,,61,66.6
2024,Nunavut,,,,,,,62,54.4
2025,Terre-Neuve-et-Labrador,,,,,,,10,52.0
2025,Île-du-Prince-Édouard,,,,,,,11,60.8
2025,Nouvelle-Écosse,,,,,,,12,57.3
2025,Nouveau-Brunswick,,,,,,,13,56.2
2025,Québec,,,,,,,24,61.3
2025,Ontario,,,,,,,35,60.0
2025,Manitoba,,,,,,,46,62.7
2025,Saskatchewan,,,,,,,47,63.9
2025,Alberta,,,,,,,48,63.9
2025,Colombie-Britannique,,,,,,,59,60.9
2025,Yukon,,,,,,,60,72.8
2025,Territoires du Nord-Ouest,,,,,,,61,65.5
2025,Nunavut,,,,,,,62,53.6
2015,"Avalon Peninsula,  Terre-Neuve-et-Labrador",,,,,,,,60.2
2015,"Côte-sud-Burin Peninsula et Notre Dame-Central-Bonavista Bay,  Terre-Neuve-et-Labrador",,,,,,,,45.5
2015,"Côte-ouest-Northern Peninsula-Labrador,  Terre-Neuve-et-Labrador",,,,,,,,48.4
2015,"Cape Breton, Nouvelle-Écosse",,,,,,,,46.2
2015,"Côte-nord, Nouvelle-Écosse",,,,,,,,55.2
2015,"Annapolis Valley, Nouvelle-Écosse",,,,,,,,52.6
2015,"Sud, Nouvelle-Écosse",,,,,,,,50.5
2015,"Halifax, Nouvelle-Écosse",,,,,,,,64.6
2015,"Campbellton-Miramichi, Nouveau-Brunswick",,,,,,,,47.1
2015,"Moncton-Richibucto, Nouveau-Brunswick",,,,,,,,60.0
2015,"Saint John-St. Stephen, Nouveau-Brunswick",,,,,,,,58.3
2015,"Fredericton-Oromocto, Nouveau-Brunswick",,,,,,,,59.8
2015,"Edmundston-Woodstock, Nouveau-Brunswick",,,,,,,,56.8
2015,"Gaspésie-Îles-de-la-Madeleine, Québec",,,,,,,,45.7
2015,"Bas-Saint-Laurent, Québec",,,,,,,,49.7
2015,"Capitale-Nationale, Québec",,,,,,,,65.1
2015,"Chaudière-Appalaches, Québec",,,,,,,,62.5
2015,"Estrie, Quebec",,,,,,,,56.9
2015,"Centre-du-Québec, Québec",,,,,,,,58.1
2015,"Montérégie, Québec",,,,,,,,62.2
2015,"Montréal, Québec",,,,,,,,58.3
2015,"Laval, Québec",,,,,,,,59.6
2015,"Lanaudière, Québec",,,,,,,,62.1
2015,"Laurentides, Québec",,,,,,,,63.1
2015,"Outaouais, Québec",,,,,,,,62.3
2015,"Abitibi-Témiscamingue, Québec",,,,,,,,58.9
2015,"Mauricie, Quebec",,,,,,,,51.5
2015,"Saguenay-Lac-Saint-Jean, Québec",,,,,,,,55.2
2015,"Côte-Nord and Nord-du-Québec, Québec",,,,,,,,55.2
2015,"Ottawa, Ontario",,,,,,,,62.6
2015,"Kingston-Pembroke, Ontario",,,,,,,,53.2
2015,"Muskoka-Kawarthas, Ontario",,,,,,,,51.2
2015,"Toronto, Ontario",,,,,,,,62.1
2015,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,66.0
2015,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,60.2
2015,"London, Ontario",,,,,,,,59.9
2015,"Windsor-Sarnia, Ontario",,,,,,,,56.3
2015,"Stratford-Bruce Peninsula, Ontario",,,,,,,,59.4
2015,"Nord-est, Ontario",,,,,,,,54.2
2015,"Nord-ouest, Ontario",,,,,,,,56.7
2015,"Sud-est, Manitoba",,,,,,,,63.2
2015,"Centre sud et Centre nord, Manitoba",,,,,,,,65.3
2015,"Sud-ouest, Manitoba",,,,,,,,65.9
2015,"Winnipeg, Manitoba",,,,,,,,65.2
2015,"Interlake, Manitoba",,,,,,,,62.2
2015,"Parklands et Nord, Manitoba",,,,,,,,64.4
2015,"Regina-Moose Mountain, Saskatchewan",,,,,,,,69.7
2015,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,64.9
2015,"Saskatoon-Biggar, Saskatchewan",,,,,,,,66.9
2015,"Yorkton-Melville, Saskatchewan",,,,,,,,60.1
2015,"Prince Albert et Nord, Saskatchewan",,,,,,,,62.8
2015,"Lethbridge-Medicine Hat, Alberta",,,,,,,,64.2
2015,"Camrose-Drumheller, Alberta",,,,,,,,64.2
2015,"Calgary, Alberta",,,,,,,,69.5
2015,"Banff-Jasper-Rocky Mountain House et Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,69.4
2015,"Red Deer, Alberta",,,,,,,,69.0
2015,"Edmonton, Alberta",,,,,,,,69.1
2015,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,72.7
2015,"Île de Vancouver et la côte, Colombie-Britannique",,,,,,,,55.3
2015,"Lower Mainland-Southwest, Colombie-Britannique",,,,,,,,61.6
2015,"Thompson-Okanagan, Colombie-Britannique",,,,,,,,58.4
2015,"Kootenay, Colombie-Britannique",,,,,,,,56.3
2015,"Cariboo, Colombie-Britannique",,,,,,,,63.1
2015,"Côte-nord et Nechako, Colombie-Britannique",,,,,,,,63.8
2015,"Nord-est, Colombie-Britannique",,,,,,,,72.5
2016,"Avalon Peninsula,  Terre-Neuve-et-Labrador",,,,,,,,59.1
2016,"Côte-sud-Burin Peninsula et Notre Dame-Central-Bonavista Bay,  Terre-Neuve-et-Labrador",,,,,,,,42.5
2016,"Côte-ouest-Northern Peninsula-Labrador,  Terre-Neuve-et-Labrador",,,,,,,,48.9
2016,"Cape Breton, Nouvelle-Écosse",,,,,,,,45.3
2016,"Côte-nord, Nouvelle-Écosse",,,,,,,,53.5
2016,"Annapolis Valley, Nouvelle-Écosse",,,,,,,,53.4
2016,"Sud, Nouvelle-Écosse",,,,,,,,49.1
2016,"Halifax, Nouvelle-Écosse",,,,,,,,64.3
2016,"Campbellton-Miramichi, Nouveau-Brunswick",,,,,,,,45.9
2016,"Moncton-Richibucto, Nouveau-Brunswick",,,,,,,,59.5
2016,"Saint John-St. Stephen, Nouveau-Brunswick",,,,,,,,58.9
2016,"Fredericton-Oromocto, Nouveau-Brunswick",,,,,,,,61.4
2016,"Edmundston-Woodstock, Nouveau-Brunswick",,,,,,,,58.6
2016,"Gaspésie-Îles-de-la-Madeleine, Québec",,,,,,,,44.9
2016,"Bas-Saint-Laurent, Québec",,,,,,,,51.3
2016,"Capitale-Nationale, Québec",,,,,,,,65.2
2016,"Chaudière-Appalaches, Québec",,,,,,,,61.3
2016,"Estrie, Quebec",,,,,,,,56.4
2016,"Centre-du-Québec, Québec",,,,,,,,60.5
2016,"Montérégie, Québec",,,,,,,,61.3
2016,"Montréal, Québec",,,,,,,,59.4
2016,"Laval, Québec",,,,,,,,59.9
2016,"Lanaudière, Québec",,,,,,,,60.0
2016,"Laurentides, Québec",,,,,,,,62.1
2016,"Outaouais, Québec",,,,,,,,61.2
2016,"Abitibi-Témiscamingue, Québec",,,,,,,,60.2
2016,"Mauricie, Quebec",,,,,,,,53.8
2016,"Saguenay-Lac-Saint-Jean, Québec",,,,,,,,54.6
2016,"Côte-Nord and Nord-du-Québec, Québec",,,,,,,,59.2
2016,"Ottawa, Ontario",,,,,,,,62.3
2016,"Kingston-Pembroke, Ontario",,,,,,,,55.8
2016,"Muskoka-Kawarthas, Ontario",,,,,,,,51.3
2016,"Toronto, Ontario",,,,,,,,62.0
2016,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,64.6
2016,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,59.7
2016,"London, Ontario",,,,,,,,59.5
2016,"Windsor-Sarnia, Ontario",,,,,,,,57.2
2016,"Stratford-Bruce Peninsula, Ontario",,,,,,,,59.2
2016,"Nord-est, Ontario",,,,,,,,53.8
2016,"Nord-ouest, Ontario",,,,,,,,58.1
2016,"Sud-est, Manitoba",,,,,,,,66.4
2016,"Centre sud et Centre nord, Manitoba",,,,,,,,63.6
2016,"Sud-ouest, Manitoba",,,,,,,,62.0
2016,"Winnipeg, Manitoba",,,,,,,,64.0
2016,"Interlake, Manitoba",,,,,,,,61.0
2016,"Parklands et Nord, Manitoba",,,,,,,,65.3
2016,"Regina-Moose Mountain, Saskatchewan",,,,,,,,68.9
2016,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,64.4
2016,"Saskatoon-Biggar, Saskatchewan",,,,,,,,65.1
2016,"Yorkton-Melville, Saskatchewan",,,,,,,,59.2
2016,"Prince Albert et Nord, Saskatchewan",,,,,,,,62.3
2016,"Lethbridge-Medicine Hat, Alberta",,,,,,,,64.5
2016,"Camrose-Drumheller, Alberta",,,,,,,,61.8
2016,"Calgary, Alberta",,,,,,,,66.5
2016,"Banff-Jasper-Rocky Mountain House et Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,65.4
2016,"Red Deer, Alberta",,,,,,,,64.3
