Year,Géographie,GeoCode,Value
2015,,,0.314
2016,,,0.306
2017,,,0.309
2018,,,0.304
2019,,,0.299
2020,,,0.281
2021,,,0.288
2022,,,0.3
2023,,,0.3
2015,Terre-Neuve-et-Labrador,10,0.314
2015,Île-du-Prince-Édouard,11,0.282
2015,Nouvelle-Écosse,12,0.297
2015,Nouveau-Brunswick,13,0.273
2015,Québec,24,0.284
2015,Ontario,35,0.317
2015,Manitoba,46,0.3
2015,Saskatchewan,47,0.302
2015,Alberta,48,0.322
2015,Colombie-Britannique,59,0.314
2016,Terre-Neuve-et-Labrador,10,0.302
2016,Île-du-Prince-Édouard,11,0.278
2016,Nouvelle-Écosse,12,0.297
2016,Nouveau-Brunswick,13,0.279
2016,Québec,24,0.283
2016,Ontario,35,0.318
2016,Manitoba,46,0.289
2016,Saskatchewan,47,0.289
2016,Alberta,48,0.296
2016,Colombie-Britannique,59,0.298
2017,Terre-Neuve-et-Labrador,10,0.309
2017,Île-du-Prince-Édouard,11,0.287
2017,Nouvelle-Écosse,12,0.295
2017,Nouveau-Brunswick,13,0.278
2017,Québec,24,0.287
2017,Ontario,35,0.321
2017,Manitoba,46,0.304
2017,Saskatchewan,47,0.302
2017,Alberta,48,0.294
2017,Colombie-Britannique,59,0.303
2018,Terre-Neuve-et-Labrador,10,0.298
2018,Île-du-Prince-Édouard,11,0.286
2018,Nouvelle-Écosse,12,0.288
2018,Nouveau-Brunswick,13,0.283
2018,Québec,24,0.283
2018,Ontario,35,0.313
2018,Manitoba,46,0.291
2018,Saskatchewan,47,0.289
2018,Alberta,48,0.296
2018,Colombie-Britannique,59,0.304
2019,Terre-Neuve-et-Labrador,10,0.302
2019,Île-du-Prince-Édouard,11,0.266
2019,Nouvelle-Écosse,12,0.277
2019,Nouveau-Brunswick,13,0.272
2019,Québec,24,0.282
2019,Ontario,35,0.304
2019,Manitoba,46,0.29
2019,Saskatchewan,47,0.291
2019,Alberta,48,0.291
2019,Colombie-Britannique,59,0.305
2020,Terre-Neuve-et-Labrador,10,0.27
2020,Île-du-Prince-Édouard,11,0.257
2020,Nouvelle-Écosse,12,0.26
2020,Nouveau-Brunswick,13,0.265
2020,Québec,24,0.261
2020,Ontario,35,0.29
2020,Manitoba,46,0.269
2020,Saskatchewan,47,0.266
2020,Alberta,48,0.274
2020,Colombie-Britannique,59,0.28
2021,Terre-Neuve-et-Labrador,10,0.282
2021,Île-du-Prince-Édouard,11,0.252
2021,Nouvelle-Écosse,12,0.264
2021,Nouveau-Brunswick,13,0.266
2021,Québec,24,0.264
2021,Ontario,35,0.296
2021,Manitoba,46,0.278
2021,Saskatchewan,47,0.274
2021,Alberta,48,0.295
2021,Colombie-Britannique,59,0.291
2022,Terre-Neuve-et-Labrador,10,0.283
2022,Île-du-Prince-Édouard,11,0.254
2022,Nouvelle-Écosse,12,0.28
2022,Nouveau-Brunswick,13,0.275
2022,Québec,24,0.27
2022,Ontario,35,0.313
2022,Manitoba,46,0.279
2022,Saskatchewan,47,0.287
2022,Alberta,48,0.301
2022,Colombie-Britannique,59,0.306
2023,Terre-Neuve-et-Labrador,10,0.292
2023,Île-du-Prince-Édouard,11,0.262
2023,Nouvelle-Écosse,12,0.273
2023,Nouveau-Brunswick,13,0.275
2023,Québec,24,0.272
2023,Ontario,35,0.311
2023,Manitoba,46,0.28
2023,Saskatchewan,47,0.293
2023,Alberta,48,0.293
2023,Colombie-Britannique,59,0.31
