Year,Centres de population,Value
2016,,84.3
2016,Réserves des Premières Nations,
2016,Grands centres de population,98.9
2016,Moyens centres de population,91.1
2016,Régions rurales,38.9
2016,Petits centres de population,84.4
2017,Réserves des Premières Nations,
2017,,84.1
2017,Grands centres de population,98.7
2017,Moyens centres de population,98.6
2017,Régions rurales,37.2
2017,Petits centres de population,86.0
2018,Réserves des Premières Nations,31.3
2018,,85.7
2018,Grands centres de population,99.4
2018,Moyens centres de population,99.2
2018,Régions rurales,40.8
2018,Petits centres de population,88.7
2019,Réserves des Premières Nations,34.8
2019,,87.4
2019,Grands centres de population,99.6
2019,Moyens centres de population,99.4
2019,Régions rurales,45.6
2019,Petits centres de population,93.1
