Year,Géographie,Genre,Groupe d'âge,GeoCode,Value
2015,,,,,26.5
2016,,,,,25.25
2017,,,,,24.18
2018,,,,,21.89
2019,,,,,19.6
2020,,,,,23.42
2021,,,,,21.39
2022,,,,,15.54
2023,,,,,15.69
2024,,,,,17.81
2025,,,,,18.41
2015,Alberta,Hommes+,15 à 24 ans,48,17.62
2015,Alberta,Hommes+,15 ans et plus,48,25.33
2015,Alberta,Hommes+,25 à 44 ans,48,34.52
2015,Alberta,Hommes+,25 à 54 ans,48,36.94
2015,Alberta,Hommes+,25 ans et plus,48,27.9
2015,Alberta,Hommes+,45 ans et plus,48,20.18
2015,Alberta,Hommes+,55 à 64 ans,48,16.22
2015,Alberta,Hommes+,55 ans et plus,48,9.17
2015,Alberta,Hommes+,65 ans et plus,48,0.0
2015,Alberta,Total - Genre,15 à 24 ans,48,18.05
2015,Alberta,Total - Genre,15 ans et plus,48,20.55
2015,Alberta,Total - Genre,25 à 44 ans,48,24.75
2015,Alberta,Total - Genre,25 à 54 ans,48,25.81
2015,Alberta,Total - Genre,25 ans et plus,48,21.73
2015,Alberta,Total - Genre,45 ans et plus,48,19.0
2015,Alberta,Total - Genre,55 à 64 ans,48,14.77
2015,Alberta,Total - Genre,55 ans et plus,48,11.35
2015,Alberta,Total - Genre,65 ans et plus,48,4.7
2015,Alberta,Femmes+,15 à 24 ans,48,16.69
2015,Alberta,Femmes+,15 ans et plus,48,18.33
2015,Alberta,Femmes+,25 à 44 ans,48,20.56
2015,Alberta,Femmes+,25 à 54 ans,48,21.42
2015,Alberta,Femmes+,25 ans et plus,48,18.9
2015,Alberta,Femmes+,45 ans et plus,48,17.25
2015,Alberta,Femmes+,55 à 64 ans,48,10.26
2015,Alberta,Femmes+,55 ans et plus,48,8.88
2015,Alberta,Femmes+,65 ans et plus,48,0.0
2015,Colombie-Britannique,Hommes+,15 à 24 ans,59,21.28
2015,Colombie-Britannique,Hommes+,15 ans et plus,59,29.26
2015,Colombie-Britannique,Hommes+,25 à 44 ans,59,44.29
2015,Colombie-Britannique,Hommes+,25 à 54 ans,59,49.53
2015,Colombie-Britannique,Hommes+,25 ans et plus,59,34.87
2015,Colombie-Britannique,Hommes+,45 ans et plus,59,25.29
2015,Colombie-Britannique,Hommes+,55 à 64 ans,59,17.23
2015,Colombie-Britannique,Hommes+,55 ans et plus,59,11.37
2015,Colombie-Britannique,Hommes+,65 ans et plus,59,0.0
2015,Colombie-Britannique,Total - Genre,15 à 24 ans,59,21.31
2015,Colombie-Britannique,Total - Genre,15 ans et plus,59,25.26
2015,Colombie-Britannique,Total - Genre,25 à 44 ans,59,30.5
2015,Colombie-Britannique,Total - Genre,25 à 54 ans,59,32.19
2015,Colombie-Britannique,Total - Genre,25 ans et plus,59,27.05
2015,Colombie-Britannique,Total - Genre,45 ans et plus,59,24.47
2015,Colombie-Britannique,Total - Genre,55 à 64 ans,59,22.42
2015,Colombie-Britannique,Total - Genre,55 ans et plus,59,16.53
2015,Colombie-Britannique,Total - Genre,65 ans et plus,59,0.0
2015,Colombie-Britannique,Femmes+,15 à 24 ans,59,21.25
2015,Colombie-Britannique,Femmes+,15 ans et plus,59,23.27
2015,Colombie-Britannique,Femmes+,25 à 44 ans,59,24.93
2015,Colombie-Britannique,Femmes+,25 à 54 ans,59,26.88
2015,Colombie-Britannique,Femmes+,25 ans et plus,59,23.93
2015,Colombie-Britannique,Femmes+,45 ans et plus,59,23.17
2015,Colombie-Britannique,Femmes+,55 à 64 ans,59,13.75
2015,Colombie-Britannique,Femmes+,55 ans et plus,59,13.11
2015,Colombie-Britannique,Femmes+,65 ans et plus,59,0.0
2015,Canada,Hommes+,15 à 24 ans,,20.24
2015,Canada,Hommes+,15 ans et plus,,27.99
2015,Canada,Hommes+,25 à 44 ans,,47.06
2015,Canada,Hommes+,25 à 54 ans,,47.65
