Year,Géographie,Catégorie de produits,GeoCode,Value
2017,Manitoba,Véhicules,46,0.23
2017,Manitoba,Autres produits,46,0.76
2017,Saskatchewan,"Total, toutes les catégories de produits",47,0.74
2017,Saskatchewan,Matériaux de construction,47,0.88
2017,Saskatchewan,Équipements électriques et électroniques,47,0.91
2017,Saskatchewan,Emballages,47,0.88
2017,Saskatchewan,Films agricoles,47,0.88
2017,Saskatchewan,Textiles,47,0.88
2017,Saskatchewan,Véhicules,47,0.22
2017,Saskatchewan,Autres produits,47,0.7
2017,Alberta,"Total, toutes les catégories de produits",48,0.75
2017,Alberta,Matériaux de construction,48,0.88
2017,Alberta,Équipements électriques et électroniques,48,0.91
2017,Alberta,Emballages,48,0.88
2017,Alberta,Films agricoles,48,0.88
2017,Alberta,Textiles,48,0.88
2017,Alberta,Véhicules,48,0.23
2017,Alberta,Autres produits,48,0.7
2017,Colombie-Britannique,"Total, toutes les catégories de produits",59,0.69
2017,Colombie-Britannique,Matériaux de construction,59,0.88
2017,Colombie-Britannique,Équipements électriques et électroniques,59,0.88
2017,Colombie-Britannique,Emballages,59,0.88
2017,Colombie-Britannique,Films agricoles,59,0.9
2017,Colombie-Britannique,Textiles,59,0.88
2017,Colombie-Britannique,Véhicules,59,0.23
2017,Colombie-Britannique,Autres produits,59,0.64
2017,Yukon,"Total, toutes les catégories de produits",60,3.9
2017,Yukon,Matériaux de construction,60,0.97
2017,Yukon,Équipements électriques et électroniques,60,0.97
2017,Yukon,Emballages,60,0.88
2017,Yukon,Films agricoles,60,0.0
2017,Yukon,Textiles,60,0.85
2017,Yukon,Véhicules,60,20.02
2017,Yukon,Autres produits,60,0.59
2017,Territoires du Nord-Ouest,"Total, toutes les catégories de produits",61,4.22
2017,Territoires du Nord-Ouest,Matériaux de construction,61,0.96
2017,Territoires du Nord-Ouest,Équipements électriques et électroniques,61,0.87
2017,Territoires du Nord-Ouest,Emballages,61,0.88
2017,Territoires du Nord-Ouest,Films agricoles,61,0.0
2017,Territoires du Nord-Ouest,Textiles,61,0.82
2017,Territoires du Nord-Ouest,Véhicules,61,20.01
2017,Territoires du Nord-Ouest,Autres produits,61,0.64
2017,Nunavut,"Total, toutes les catégories de produits",62,2.92
2017,Nunavut,Matériaux de construction,62,1.09
2017,Nunavut,Équipements électriques et électroniques,62,0.92
2017,Nunavut,Emballages,62,0.89
2017,Nunavut,Textiles,62,1.05
2017,Nunavut,Véhicules,62,19.92
2017,Nunavut,Autres produits,62,0.46
2017,Canadian territorial enclaves abroad,"Total, toutes les catégories de produits",,0.99
2017,Canadian territorial enclaves abroad,Matériaux de construction,,0.0
2017,Canadian territorial enclaves abroad,Équipements électriques et électroniques,,0.69
2017,Canadian territorial enclaves abroad,Emballages,,1.02
2017,Canadian territorial enclaves abroad,Textiles,,0.93
2017,Canadian territorial enclaves abroad,Véhicules,,1.69
2017,Canadian territorial enclaves abroad,Autres produits,,0.99
2018,Canada,Matériaux de construction,,0.88
2018,Canada,Équipements électriques et électroniques,,0.91
2018,Canada,Matériel électronique,,0.88
2018,Canada,Gros appareils électroménagers,,0.88
2018,Canada,Autres équipements électriques et électroniques,,0.92
2018,Canada,Emballages,,0.88
2018,Canada,Bouteilles,,0.88
2018,Canada,Films,,0.88
2018,Canada,Rigides non-bouteilles,,0.88
2018,Canada,Autres produits d'emballage,,0.88
2018,Canada,Films agricoles,,0.88
2018,Canada,Textiles,,0.88
2018,Canada,Véhicules,,0.6
2018,Canada,Autres produits,,0.74
2018,Terre-Neuve-et-Labrador,"Total, toutes les catégories de produits",10,4.4
2018,Terre-Neuve-et-Labrador,Matériaux de construction,10,0.88
2018,Terre-Neuve-et-Labrador,Équipements électriques et électroniques,10,0.91
2018,Terre-Neuve-et-Labrador,Emballages,10,0.88
2018,Terre-Neuve-et-Labrador,Films agricoles,10,0.69
2018,Terre-Neuve-et-Labrador,Textiles,10,0.89
2018,Terre-Neuve-et-Labrador,Véhicules,10,20.0
2018,Terre-Neuve-et-Labrador,Autres produits,10,0.6
2018,Île-du-Prince-Édouard,"Total, toutes les catégories de produits",11,0.66
2018,Île-du-Prince-Édouard,Matériaux de construction,11,0.91
2018,Île-du-Prince-Édouard,Équipements électriques et électroniques,11,0.93
2018,Île-du-Prince-Édouard,Emballages,11,0.88
2018,Île-du-Prince-Édouard,Films agricoles,11,0.91
2018,Île-du-Prince-Édouard,Textiles,11,0.88
2018,Île-du-Prince-Édouard,Véhicules,11,0.21
2018,Île-du-Prince-Édouard,Autres produits,11,0.54
2018,Nouvelle-Écosse,"Total, toutes les catégories de produits",12,0.68
2018,Nouvelle-Écosse,Matériaux de construction,12,0.87
2018,Nouvelle-Écosse,Équipements électriques et électroniques,12,0.9
2018,Nouvelle-Écosse,Emballages,12,0.88
2018,Nouvelle-Écosse,Films agricoles,12,0.91
2018,Nouvelle-Écosse,Textiles,12,0.88
2018,Nouvelle-Écosse,Véhicules,12,0.23
2018,Nouvelle-Écosse,Autres produits,12,0.57
2018,Nouveau-Brunswick,"Total, toutes les catégories de produits",13,0.72
2018,Nouveau-Brunswick,Matériaux de construction,13,0.88
2018,Nouveau-Brunswick,Équipements électriques et électroniques,13,0.9
2018,Nouveau-Brunswick,Emballages,13,0.88
2018,Nouveau-Brunswick,Films agricoles,13,0.91
2018,Nouveau-Brunswick,Textiles,13,0.88
2018,Nouveau-Brunswick,Véhicules,13,0.22
2018,Nouveau-Brunswick,Autres produits,13,0.71
2018,Québec,"Total, toutes les catégories de produits",24,0.74
2018,Québec,Matériaux de construction,24,0.88
2018,Québec,Équipements électriques et électroniques,24,0.9
2018,Québec,Emballages,24,0.88
2018,Québec,Films agricoles,24,0.88
2018,Québec,Textiles,24,0.88
2018,Québec,Véhicules,24,0.23
2018,Québec,Autres produits,24,0.82
2018,Ontario,"Total, toutes les catégories de produits",35,0.77
2018,Ontario,Matériaux de construction,35,0.88
2018,Ontario,Équipements électriques et électroniques,35,0.91
2018,Ontario,Emballages,35,0.88
2018,Ontario,Films agricoles,35,0.88
2018,Ontario,Textiles,35,0.88
2018,Ontario,Véhicules,35,0.23
2018,Ontario,Autres produits,35,0.77
2018,Manitoba,"Total, toutes les catégories de produits",46,0.74
2018,Manitoba,Matériaux de construction,46,0.88
2018,Manitoba,Équipements électriques et électroniques,46,0.91
2018,Manitoba,Emballages,46,0.88
2018,Manitoba,Films agricoles,46,0.89
2018,Manitoba,Textiles,46,0.88
2018,Manitoba,Véhicules,46,0.23
2018,Manitoba,Autres produits,46,0.74
2018,Saskatchewan,"Total, toutes les catégories de produits",47,0.74
2018,Saskatchewan,Matériaux de construction,47,0.89
2018,Saskatchewan,Équipements électriques et électroniques,47,0.91
2018,Saskatchewan,Emballages,47,0.88
2018,Saskatchewan,Films agricoles,47,0.88
2018,Saskatchewan,Textiles,47,0.88
2018,Saskatchewan,Véhicules,47,0.23
2018,Saskatchewan,Autres produits,47,0.69
2018,Alberta,"Total, toutes les catégories de produits",48,0.74
2018,Alberta,Matériaux de construction,48,0.88
2018,Alberta,Équipements électriques et électroniques,48,0.91
2018,Alberta,Emballages,48,0.88
2018,Alberta,Films agricoles,48,0.88
2018,Alberta,Textiles,48,0.88
2018,Alberta,Véhicules,48,0.23
2018,Alberta,Autres produits,48,0.68
2018,Colombie-Britannique,"Total, toutes les catégories de produits",59,0.69
2018,Colombie-Britannique,Matériaux de construction,59,0.88
2018,Colombie-Britannique,Équipements électriques et électroniques,59,0.88
2018,Colombie-Britannique,Emballages,59,0.88
2018,Colombie-Britannique,Films agricoles,59,0.87
2018,Colombie-Britannique,Textiles,59,0.88
2018,Colombie-Britannique,Véhicules,59,0.23
2018,Colombie-Britannique,Autres produits,59,0.64
2018,Yukon,"Total, toutes les catégories de produits",60,3.34
2018,Yukon,Matériaux de construction,60,0.97
2018,Yukon,Équipements électriques et électroniques,60,0.96
2018,Yukon,Emballages,60,0.9
2018,Yukon,Films agricoles,60,0.0
2018,Yukon,Textiles,60,0.85
2018,Yukon,Véhicules,60,19.97
2018,Yukon,Autres produits,60,0.55
2018,Territoires du Nord-Ouest,"Total, toutes les catégories de produits",61,4.38
2018,Territoires du Nord-Ouest,Matériaux de construction,61,0.98
2018,Territoires du Nord-Ouest,Équipements électriques et électroniques,61,0.96
2018,Territoires du Nord-Ouest,Emballages,61,0.9
2018,Territoires du Nord-Ouest,Films agricoles,61,0.0
2018,Territoires du Nord-Ouest,Textiles,61,0.84
2018,Territoires du Nord-Ouest,Véhicules,61,19.97
2018,Territoires du Nord-Ouest,Autres produits,61,0.6
2018,Nunavut,"Total, toutes les catégories de produits",62,2.91
2018,Nunavut,Matériaux de construction,62,1.0
2018,Nunavut,Équipements électriques et électroniques,62,0.94
2018,Nunavut,Emballages,62,0.92
2018,Nunavut,Textiles,62,0.97
2018,Nunavut,Véhicules,62,19.97
2018,Nunavut,Autres produits,62,0.41
2018,Canadian territorial enclaves abroad,"Total, toutes les catégories de produits",,0.99
2018,Canadian territorial enclaves abroad,Matériaux de construction,,0.0
2018,Canadian territorial enclaves abroad,Équipements électriques et électroniques,,1.03
2018,Canadian territorial enclaves abroad,Emballages,,1.02
2018,Canadian territorial enclaves abroad,Textiles,,0.94
2018,Canadian territorial enclaves abroad,Véhicules,,1.59
2018,Canadian territorial enclaves abroad,Autres produits,,1.03
2019,Canada,Matériaux de construction,,0.88
2019,Canada,Équipements électriques et électroniques,,0.9
2019,Canada,Matériel électronique,,0.88
2019,Canada,Gros appareils électroménagers,,0.88
2019,Canada,Autres équipements électriques et électroniques,,0.92
2019,Canada,Emballages,,0.88
2019,Canada,Bouteilles,,0.88
2019,Canada,Films,,0.88
2019,Canada,Rigides non-bouteilles,,0.88
2019,Canada,Autres produits d'emballage,,0.88
2019,Canada,Films agricoles,,0.88
2019,Canada,Textiles,,0.88
2019,Canada,Véhicules,,0.63
2019,Canada,Autres produits,,0.74
2019,Terre-Neuve-et-Labrador,"Total, toutes les catégories de produits",10,4.59
2019,Terre-Neuve-et-Labrador,Matériaux de construction,10,0.89
2019,Terre-Neuve-et-Labrador,Équipements électriques et électroniques,10,0.91
2019,Terre-Neuve-et-Labrador,Emballages,10,0.88
2019,Terre-Neuve-et-Labrador,Films agricoles,10,0.68
2019,Terre-Neuve-et-Labrador,Textiles,10,0.88
2019,Terre-Neuve-et-Labrador,Véhicules,10,20.0
2019,Terre-Neuve-et-Labrador,Autres produits,10,0.58
2019,Île-du-Prince-Édouard,"Total, toutes les catégories de produits",11,0.65
2019,Île-du-Prince-Édouard,Matériaux de construction,11,0.89
2019,Île-du-Prince-Édouard,Équipements électriques et électroniques,11,0.89
2019,Île-du-Prince-Édouard,Emballages,11,0.88
2019,Île-du-Prince-Édouard,Films agricoles,11,0.86
2019,Île-du-Prince-Édouard,Textiles,11,0.86
2019,Île-du-Prince-Édouard,Véhicules,11,0.22
2019,Île-du-Prince-Édouard,Autres produits,11,0.51
2019,Nouvelle-Écosse,"Total, toutes les catégories de produits",12,0.68
2019,Nouvelle-Écosse,Matériaux de construction,12,0.89
2019,Nouvelle-Écosse,Équipements électriques et électroniques,12,0.91
2019,Nouvelle-Écosse,Emballages,12,0.88
2019,Nouvelle-Écosse,Films agricoles,12,0.86
2019,Nouvelle-Écosse,Textiles,12,0.89
2019,Nouvelle-Écosse,Véhicules,12,0.23
2019,Nouvelle-Écosse,Autres produits,12,0.57
2019,Nouveau-Brunswick,"Total, toutes les catégories de produits",13,0.72
2019,Nouveau-Brunswick,Matériaux de construction,13,0.88
2019,Nouveau-Brunswick,Équipements électriques et électroniques,13,0.9
2019,Nouveau-Brunswick,Emballages,13,0.88
2019,Nouveau-Brunswick,Films agricoles,13,0.86
2019,Nouveau-Brunswick,Textiles,13,0.89
2019,Nouveau-Brunswick,Véhicules,13,0.22
2019,Nouveau-Brunswick,Autres produits,13,0.71
2019,Québec,"Total, toutes les catégories de produits",24,0.74
2019,Québec,Matériaux de construction,24,0.88
2019,Québec,Équipements électriques et électroniques,24,0.9
2019,Québec,Emballages,24,0.88
2019,Québec,Films agricoles,24,0.89
2019,Québec,Textiles,24,0.88
2019,Québec,Véhicules,24,0.23
2019,Québec,Autres produits,24,0.83
2019,Ontario,"Total, toutes les catégories de produits",35,0.77
2019,Ontario,Matériaux de construction,35,0.88
2019,Ontario,Équipements électriques et électroniques,35,0.91
2019,Ontario,Emballages,35,0.88
2019,Ontario,Films agricoles,35,0.88
2019,Ontario,Textiles,35,0.88
2019,Ontario,Véhicules,35,0.23
2019,Ontario,Autres produits,35,0.77
2019,Manitoba,"Total, toutes les catégories de produits",46,0.73
2019,Manitoba,Matériaux de construction,46,0.88
2019,Manitoba,Équipements électriques et électroniques,46,0.91
2019,Manitoba,Emballages,46,0.88
2019,Manitoba,Films agricoles,46,0.88
2019,Manitoba,Textiles,46,0.88
2019,Manitoba,Véhicules,46,0.23
2019,Manitoba,Autres produits,46,0.73
2019,Saskatchewan,"Total, toutes les catégories de produits",47,0.73
2019,Saskatchewan,Matériaux de construction,47,0.88
2019,Saskatchewan,Équipements électriques et électroniques,47,0.91
2019,Saskatchewan,Emballages,47,0.88
2019,Saskatchewan,Films agricoles,47,0.88
2019,Saskatchewan,Textiles,47,0.88
2019,Saskatchewan,Véhicules,47,0.23
2019,Saskatchewan,Autres produits,47,0.7
2019,Alberta,"Total, toutes les catégories de produits",48,0.74
2019,Alberta,Matériaux de construction,48,0.88
2019,Alberta,Équipements électriques et électroniques,48,0.91
2019,Alberta,Emballages,48,0.88
2019,Alberta,Films agricoles,48,0.88
2019,Alberta,Textiles,48,0.88
2019,Alberta,Véhicules,48,0.23
2019,Alberta,Autres produits,48,0.67
2019,Colombie-Britannique,"Total, toutes les catégories de produits",59,0.68
2019,Colombie-Britannique,Matériaux de construction,59,0.88
2019,Colombie-Britannique,Équipements électriques et électroniques,59,0.88
2019,Colombie-Britannique,Emballages,59,0.88
2019,Colombie-Britannique,Films agricoles,59,0.87
2019,Colombie-Britannique,Textiles,59,0.88
2019,Colombie-Britannique,Véhicules,59,0.23
2019,Colombie-Britannique,Autres produits,59,0.62
2019,Yukon,"Total, toutes les catégories de produits",60,3.35
2019,Yukon,Matériaux de construction,60,0.92
2019,Yukon,Équipements électriques et électroniques,60,0.89
2019,Yukon,Emballages,60,0.9
2019,Yukon,Films agricoles,60,0.0
2019,Yukon,Textiles,60,0.8
2019,Yukon,Véhicules,60,20.0
2019,Yukon,Autres produits,60,0.62
2019,Territoires du Nord-Ouest,"Total, toutes les catégories de produits",61,4.32
2019,Territoires du Nord-Ouest,Matériaux de construction,61,1.01
2019,Territoires du Nord-Ouest,Équipements électriques et électroniques,61,0.92
2019,Territoires du Nord-Ouest,Emballages,61,0.87
2019,Territoires du Nord-Ouest,Films agricoles,61,0.0
2019,Territoires du Nord-Ouest,Textiles,61,0.86
2019,Territoires du Nord-Ouest,Véhicules,61,20.01
2019,Territoires du Nord-Ouest,Autres produits,61,0.59
2019,Nunavut,"Total, toutes les catégories de produits",62,3.52
2019,Nunavut,Matériaux de construction,62,0.99
2019,Nunavut,Équipements électriques et électroniques,62,0.88
2019,Nunavut,Emballages,62,0.91
2019,Nunavut,Textiles,62,0.96
2019,Nunavut,Véhicules,62,19.98
2019,Nunavut,Autres produits,62,0.42
2019,Canadian territorial enclaves abroad,"Total, toutes les catégories de produits",,1.02
2019,Canadian territorial enclaves abroad,Matériaux de construction,,0.0
2019,Canadian territorial enclaves abroad,Équipements électriques et électroniques,,1.11
2019,Canadian territorial enclaves abroad,Emballages,,1.0
2019,Canadian territorial enclaves abroad,Textiles,,0.94
2019,Canadian territorial enclaves abroad,Véhicules,,1.67
2019,Canadian territorial enclaves abroad,Autres produits,,1.01
2020,Canada,Matériaux de construction,,0.88
2020,Canada,Équipements électriques et électroniques,,0.9
2020,Canada,Matériel électronique,,0.88
2020,Canada,Gros appareils électroménagers,,0.88
2020,Canada,Autres équipements électriques et électroniques,,0.92
2020,Canada,Emballages,,0.88
2020,Canada,Bouteilles,,0.88
2020,Canada,Films,,0.88
2020,Canada,Rigides non-bouteilles,,0.88
2020,Canada,Autres produits d'emballage,,0.88
2020,Canada,Films agricoles,,0.88
2020,Canada,Textiles,,0.88
2020,Canada,Véhicules,,0.68
2020,Canada,Autres produits,,0.75
2020,Terre-Neuve-et-Labrador,"Total, toutes les catégories de produits",10,4.25
2020,Terre-Neuve-et-Labrador,Matériaux de construction,10,0.9
2020,Terre-Neuve-et-Labrador,Équipements électriques et électroniques,10,0.91
2020,Terre-Neuve-et-Labrador,Emballages,10,0.88
2020,Terre-Neuve-et-Labrador,Films agricoles,10,0.68
2020,Terre-Neuve-et-Labrador,Textiles,10,0.88
2020,Terre-Neuve-et-Labrador,Véhicules,10,20.0
2020,Terre-Neuve-et-Labrador,Autres produits,10,0.51
2020,Île-du-Prince-Édouard,"Total, toutes les catégories de produits",11,0.66
2020,Île-du-Prince-Édouard,Matériaux de construction,11,0.88
2020,Île-du-Prince-Édouard,Équipements électriques et électroniques,11,0.88
2020,Île-du-Prince-Édouard,Emballages,11,0.88
2020,Île-du-Prince-Édouard,Films agricoles,11,0.85
2020,Île-du-Prince-Édouard,Textiles,11,0.85
2020,Île-du-Prince-Édouard,Véhicules,11,0.24
2020,Île-du-Prince-Édouard,Autres produits,11,0.5
2020,Nouvelle-Écosse,"Total, toutes les catégories de produits",12,0.67
2020,Nouvelle-Écosse,Matériaux de construction,12,0.88
2020,Nouvelle-Écosse,Équipements électriques et électroniques,12,0.9
2020,Nouvelle-Écosse,Emballages,12,0.88
2020,Nouvelle-Écosse,Films agricoles,12,0.85
2020,Nouvelle-Écosse,Textiles,12,0.88
2020,Nouvelle-Écosse,Véhicules,12,0.23
2020,Nouvelle-Écosse,Autres produits,12,0.57
2020,Nouveau-Brunswick,"Total, toutes les catégories de produits",13,0.72
2020,Nouveau-Brunswick,Matériaux de construction,13,0.87
2020,Nouveau-Brunswick,Équipements électriques et électroniques,13,0.91
2020,Nouveau-Brunswick,Emballages,13,0.88
2020,Nouveau-Brunswick,Films agricoles,13,0.85
2020,Nouveau-Brunswick,Textiles,13,0.88
2020,Nouveau-Brunswick,Véhicules,13,0.23
2020,Nouveau-Brunswick,Autres produits,13,0.71
2020,Québec,"Total, toutes les catégories de produits",24,0.74
2020,Québec,Matériaux de construction,24,0.88
2020,Québec,Équipements électriques et électroniques,24,0.9
2020,Québec,Emballages,24,0.88
2020,Québec,Films agricoles,24,0.88
2020,Québec,Textiles,24,0.88
2020,Québec,Véhicules,24,0.23
2020,Québec,Autres produits,24,0.83
2020,Ontario,"Total, toutes les catégories de produits",35,0.79
2020,Ontario,Matériaux de construction,35,0.88
2020,Ontario,Équipements électriques et électroniques,35,0.91
2020,Ontario,Emballages,35,0.88
2020,Ontario,Films agricoles,35,0.89
2020,Ontario,Textiles,35,0.88
2020,Ontario,Véhicules,35,0.23
2020,Ontario,Autres produits,35,0.77
2020,Manitoba,"Total, toutes les catégories de produits",46,0.73
2020,Manitoba,Matériaux de construction,46,0.89
2020,Manitoba,Équipements électriques et électroniques,46,0.91
2020,Manitoba,Emballages,46,0.88
2020,Manitoba,Films agricoles,46,0.89
2020,Manitoba,Textiles,46,0.88
2020,Manitoba,Véhicules,46,0.23
2020,Manitoba,Autres produits,46,0.74
2020,Saskatchewan,"Total, toutes les catégories de produits",47,0.74
2020,Saskatchewan,Matériaux de construction,47,0.89
2020,Saskatchewan,Équipements électriques et électroniques,47,0.9
2020,Saskatchewan,Emballages,47,0.88
2020,Saskatchewan,Films agricoles,47,0.88
2020,Saskatchewan,Textiles,47,0.88
2020,Saskatchewan,Véhicules,47,0.23
2020,Saskatchewan,Autres produits,47,0.72
2020,Alberta,"Total, toutes les catégories de produits",48,0.75
2020,Alberta,Matériaux de construction,48,0.88
2020,Alberta,Équipements électriques et électroniques,48,0.9
2020,Alberta,Emballages,48,0.88
2020,Alberta,Films agricoles,48,0.88
2020,Alberta,Textiles,48,0.88
2020,Alberta,Véhicules,48,0.23
2020,Alberta,Autres produits,48,0.69
2020,Colombie-Britannique,"Total, toutes les catégories de produits",59,0.69
2020,Colombie-Britannique,Matériaux de construction,59,0.88
2020,Colombie-Britannique,Équipements électriques et électroniques,59,0.88
2020,Colombie-Britannique,Emballages,59,0.88
2020,Colombie-Britannique,Films agricoles,59,0.9
2020,Colombie-Britannique,Textiles,59,0.88
2020,Colombie-Britannique,Véhicules,59,0.23
2020,Colombie-Britannique,Autres produits,59,0.63
2020,Yukon,"Total, toutes les catégories de produits",60,4.11
2020,Yukon,Matériaux de construction,60,0.89
2020,Yukon,Équipements électriques et électroniques,60,0.96
2020,Yukon,Emballages,60,0.9
2020,Yukon,Films agricoles,60,0.0
2020,Yukon,Textiles,60,0.78
2020,Yukon,Véhicules,60,19.96
2020,Yukon,Autres produits,60,0.61
2020,Territoires du Nord-Ouest,"Total, toutes les catégories de produits",61,4.35
2020,Territoires du Nord-Ouest,Matériaux de construction,61,0.93
2020,Territoires du Nord-Ouest,Équipements électriques et électroniques,61,0.94
2020,Territoires du Nord-Ouest,Emballages,61,0.9
2020,Territoires du Nord-Ouest,Films agricoles,61,0.0
2020,Territoires du Nord-Ouest,Textiles,61,0.8
2020,Territoires du Nord-Ouest,Véhicules,61,20.0
2020,Territoires du Nord-Ouest,Autres produits,61,0.64
2020,Nunavut,"Total, toutes les catégories de produits",62,4.3
2020,Nunavut,Matériaux de construction,62,0.96
