Year,Géographie,Groupe d'âge,Sexe,GeoCode,Value
2018,,,,,5.1
2019,,,,,6.1
2020,,,,,7.2
2021,,,,,7.9
2022,,,,,9.2
2018,Canada,15 à 24 ans,Les deux sexes,,4.0
2018,Canada,15 à 24 ans,Hommes,,3.5
2018,Canada,15 à 24 ans,Femmes,,4.6
2018,Canada,25 à 54 ans,Les deux sexes,,5.7
2018,Canada,25 à 54 ans,Hommes,,4.9
2018,Canada,25 à 54 ans,Femmes,,6.5
2018,Canada,25 à 34 ans,Les deux sexes,,5.8
2018,Canada,25 à 34 ans,Hommes,,4.9
2018,Canada,25 à 34 ans,Femmes,,6.9
2018,Canada,35 à 44 ans,Les deux sexes,,5.8
2018,Canada,35 à 44 ans,Hommes,,5.5
2018,Canada,35 à 44 ans,Femmes,,6.0
2018,Canada,45 à 54 ans,Les deux sexes,,5.4
2018,Canada,45 à 54 ans,Hommes,,4.4
2018,Canada,45 à 54 ans,Femmes,,6.5
2018,Canada,55 à 64 ans,Les deux sexes,,5.7
2018,Canada,55 à 64 ans,Hommes,,6.1
2018,Canada,55 à 64 ans,Femmes,,5.3
2018,Canada,65 ans et plus,Les deux sexes,,3.9
2018,Canada,65 ans et plus,Hommes,,3.2
2018,Canada,65 ans et plus,Femmes,,4.5
2019,Canada,15 à 24 ans,Les deux sexes,,3.8
2019,Canada,15 à 24 ans,Hommes,,1.8
2019,Canada,15 à 24 ans,Femmes,,5.8
2019,Canada,25 à 54 ans,Les deux sexes,,6.9
2019,Canada,25 à 54 ans,Hommes,,6.4
2019,Canada,25 à 54 ans,Femmes,,7.4
2019,Canada,25 à 34 ans,Les deux sexes,,7.5
2019,Canada,25 à 34 ans,Hommes,,6.9
2019,Canada,25 à 34 ans,Femmes,,8.1
2019,Canada,35 à 44 ans,Les deux sexes,,6.9
2019,Canada,35 à 44 ans,Hommes,,6.5
2019,Canada,35 à 44 ans,Femmes,,7.2
2019,Canada,45 à 54 ans,Les deux sexes,,6.3
2019,Canada,45 à 54 ans,Hommes,,5.8
2019,Canada,45 à 54 ans,Femmes,,6.8
2019,Canada,55 à 64 ans,Les deux sexes,,6.1
2019,Canada,55 à 64 ans,Hommes,,5.1
2019,Canada,55 à 64 ans,Femmes,,7.1
2019,Canada,65 ans et plus,Les deux sexes,,5.5
2019,Canada,65 ans et plus,Hommes,,5.1
2019,Canada,65 ans et plus,Femmes,,5.9
2020,Canada,15 à 24 ans,Les deux sexes,,5.3
2020,Canada,15 à 24 ans,Hommes,,4.7
2020,Canada,15 à 24 ans,Femmes,,5.9
2020,Canada,25 à 54 ans,Les deux sexes,,8.3
2020,Canada,25 à 54 ans,Hommes,,6.9
2020,Canada,25 à 54 ans,Femmes,,9.7
2020,Canada,25 à 34 ans,Les deux sexes,,8.7
2020,Canada,25 à 34 ans,Hommes,,7.2
2020,Canada,25 à 34 ans,Femmes,,10.2
2020,Canada,35 à 44 ans,Les deux sexes,,8.5
2020,Canada,35 à 44 ans,Hommes,,7.4
2020,Canada,35 à 44 ans,Femmes,,9.5
2020,Canada,45 à 54 ans,Les deux sexes,,7.8
2020,Canada,45 à 54 ans,Hommes,,6.2
2020,Canada,45 à 54 ans,Femmes,,9.3
2020,Canada,55 à 64 ans,Les deux sexes,,7.5
2020,Canada,55 à 64 ans,Hommes,,6.9
2020,Canada,55 à 64 ans,Femmes,,8.1
2020,Canada,65 ans et plus,Les deux sexes,,5.5
2020,Canada,65 ans et plus,Hommes,,5.1
2020,Canada,65 ans et plus,Femmes,,5.8
2021,Canada,15 à 24 ans,Les deux sexes,,6.1
2021,Canada,15 à 24 ans,Hommes,,4.0
2021,Canada,15 à 24 ans,Femmes,,8.2
2021,Canada,25 à 54 ans,Les deux sexes,,9.3
2021,Canada,25 à 54 ans,Hommes,,8.1
2021,Canada,25 à 54 ans,Femmes,,10.4
2021,Canada,25 à 34 ans,Les deux sexes,,9.2
2021,Canada,25 à 34 ans,Hommes,,8.2
2021,Canada,25 à 34 ans,Femmes,,10.2
2021,Canada,35 à 44 ans,Les deux sexes,,9.4
2021,Canada,35 à 44 ans,Hommes,,7.5
2021,Canada,35 à 44 ans,Femmes,,11.4
2021,Canada,45 à 54 ans,Les deux sexes,,9.2
2021,Canada,45 à 54 ans,Hommes,,8.7
2021,Canada,45 à 54 ans,Femmes,,9.7
2021,Canada,55 à 64 ans,Les deux sexes,,7.3
2021,Canada,55 à 64 ans,Hommes,,6.8
2021,Canada,55 à 64 ans,Femmes,,7.8
2021,Canada,65 ans et plus,Les deux sexes,,6.4
2021,Canada,65 ans et plus,Hommes,,5.9
2021,Canada,65 ans et plus,Femmes,,6.9
2022,Canada,15 à 24 ans,Les deux sexes,,7.4
2022,Canada,15 à 24 ans,Hommes,,5.1
2022,Canada,15 à 24 ans,Femmes,,10.0
2022,Canada,25 à 54 ans,Les deux sexes,,10.9
2022,Canada,25 à 54 ans,Hommes,,9.5
2022,Canada,25 à 54 ans,Femmes,,12.4
2022,Canada,25 à 34 ans,Les deux sexes,,11.1
2022,Canada,25 à 34 ans,Hommes,,9.0
2022,Canada,25 à 34 ans,Femmes,,13.2
2022,Canada,35 à 44 ans,Les deux sexes,,10.9
2022,Canada,35 à 44 ans,Hommes,,9.6
2022,Canada,35 à 44 ans,Femmes,,12.2
2022,Canada,45 à 54 ans,Les deux sexes,,10.8
2022,Canada,45 à 54 ans,Hommes,,10.0
2022,Canada,45 à 54 ans,Femmes,,11.7
2022,Canada,55 à 64 ans,Les deux sexes,,9.3
2022,Canada,55 à 64 ans,Hommes,,8.8
2022,Canada,55 à 64 ans,Femmes,,9.8
2022,Canada,65 ans et plus,Les deux sexes,,6.5
2022,Canada,65 ans et plus,Hommes,,5.9
2022,Canada,65 ans et plus,Femmes,,7.1
2018,Canada,,Hommes,,4.6
2018,Canada,,Femmes,,5.6
2018,Provinces de l'Atlantique,,Les deux sexes,,6.7
2018,Provinces de l'Atlantique,,Hommes,,5.7
2018,Provinces de l'Atlantique,,Femmes,,7.6
