Year,Géographie,Groupe d'âge,Genre,GeoCode,Value
2015,Canada,"Total, 15 ans et plus","Total, toutes les personnes",,12.5
2015,Canada,"Total, 15 ans et plus",Hommes+,,10.0
2015,Canada,"Total, 15 ans et plus",Femmes+,,15.0
2015,Canada,15 à 24 ans,"Total, toutes les personnes",,5.4
2015,Canada,25 à 54 ans,"Total, toutes les personnes",,13.3
2015,Canada,25 à 34 ans,"Total, toutes les personnes",,12.1
2015,Canada,35 à 44 ans,"Total, toutes les personnes",,15.0
2015,Canada,45 à 54 ans,"Total, toutes les personnes",,13.3
2015,Canada,55 à 64 ans,"Total, toutes les personnes",,14.2
2015,Canada,65 ans et plus,"Total, toutes les personnes",,15.0
2015,Atlantique,"Total, 15 ans et plus","Total, toutes les personnes",1,13.3
2015,Québec,"Total, 15 ans et plus","Total, toutes les personnes",24,12.5
2015,Ontario,"Total, 15 ans et plus","Total, toutes les personnes",35,12.5
2015,Prairies,"Total, 15 ans et plus","Total, toutes les personnes",4,12.9
2015,Colombie-Britannique,"Total, 15 ans et plus","Total, toutes les personnes",59,12.5
2022,Canada,"Total, 15 ans et plus","Total, toutes les personnes",,13.3
2022,Canada,"Total, 15 ans et plus",Hommes+,,10.8
2022,Canada,"Total, 15 ans et plus",Femmes+,,15.4
2022,Canada,15 à 24 ans,"Total, toutes les personnes",,5.0
2022,Canada,15 à 24 ans,Hommes+,,4.2
2022,Canada,15 à 24 ans,Femmes+,,6.3
2022,Canada,25 à 54 ans,"Total, toutes les personnes",,14.6
2022,Canada,25 à 54 ans,Hommes+,,10.8
2022,Canada,25 à 54 ans,Femmes+,,17.9
2022,Canada,25 à 34 ans,"Total, toutes les personnes",,12.5
2022,Canada,25 à 34 ans,Hommes+,,8.8
2022,Canada,25 à 34 ans,Femmes+,,16.3
2022,Canada,35 à 44 ans,"Total, toutes les personnes",,16.3
2022,Canada,35 à 44 ans,Hommes+,,12.5
2022,Canada,35 à 44 ans,Femmes+,,20.4
2022,Canada,45 à 54 ans,"Total, toutes les personnes",,14.2
2022,Canada,45 à 54 ans,Hommes+,,12.1
2022,Canada,45 à 54 ans,Femmes+,,16.7
2022,Canada,55 à 64 ans,"Total, toutes les personnes",,14.6
2022,Canada,55 à 64 ans,Hommes+,,12.9
2022,Canada,55 à 64 ans,Femmes+,,16.7
2022,Canada,65 ans et plus,"Total, toutes les personnes",,14.6
2022,Canada,65 ans et plus,Hommes+,,13.3
2022,Canada,65 ans et plus,Femmes+,,15.8
2022,Atlantique,"Total, 15 ans et plus","Total, toutes les personnes",1,14.2
2022,Atlantique,"Total, 15 ans et plus",Hommes+,1,11.7
2022,Atlantique,"Total, 15 ans et plus",Femmes+,1,16.7
2022,Atlantique,15 à 24 ans,"Total, toutes les personnes",1,
2022,Atlantique,15 à 24 ans,Hommes+,1,
2022,Atlantique,15 à 24 ans,Femmes+,1,
2022,Atlantique,25 à 54 ans,"Total, toutes les personnes",1,14.6
2022,Atlantique,25 à 54 ans,Hommes+,1,11.7
2022,Atlantique,25 à 54 ans,Femmes+,1,17.5
2022,Atlantique,25 à 34 ans,"Total, toutes les personnes",1,13.8
2022,Atlantique,25 à 34 ans,Hommes+,1,
2022,Atlantique,25 à 34 ans,Femmes+,1,16.3
2022,Atlantique,35 à 44 ans,"Total, toutes les personnes",1,17.5
2022,Atlantique,35 à 44 ans,Hommes+,1,
2022,Atlantique,35 à 44 ans,Femmes+,1,20.0
2022,Atlantique,45 à 54 ans,"Total, toutes les personnes",1,13.3
2022,Atlantique,45 à 54 ans,Hommes+,1,9.2
2022,Atlantique,45 à 54 ans,Femmes+,1,17.1
2022,Atlantique,55 à 64 ans,"Total, toutes les personnes",1,14.6
2022,Atlantique,55 à 64 ans,Hommes+,1,13.3
2022,Atlantique,55 à 64 ans,Femmes+,1,15.8
2022,Atlantique,65 ans et plus,"Total, toutes les personnes",1,16.3
2022,Atlantique,65 ans et plus,Hommes+,1,15.0
2022,Atlantique,65 ans et plus,Femmes+,1,17.1
2022,Québec,"Total, 15 ans et plus","Total, toutes les personnes",24,12.1
2022,Québec,"Total, 15 ans et plus",Hommes+,24,10.0
2022,Québec,"Total, 15 ans et plus",Femmes+,24,14.2
2022,Québec,15 à 24 ans,"Total, toutes les personnes",24,
2022,Québec,15 à 24 ans,Hommes+,24,
2022,Québec,15 à 24 ans,Femmes+,24,
2022,Québec,25 à 54 ans,"Total, toutes les personnes",24,12.9
2022,Québec,25 à 54 ans,Hommes+,24,9.6
2022,Québec,25 à 54 ans,Femmes+,24,16.3
2022,Québec,25 à 34 ans,"Total, toutes les personnes",24,11.7
2022,Québec,25 à 34 ans,Hommes+,24,7.5
2022,Québec,25 à 34 ans,Femmes+,24,16.7
2022,Québec,35 à 44 ans,"Total, toutes les personnes",24,14.2
2022,Québec,35 à 44 ans,Hommes+,24,10.4
2022,Québec,35 à 44 ans,Femmes+,24,18.3
2022,Québec,45 à 54 ans,"Total, toutes les personnes",24,12.9
2022,Québec,45 à 54 ans,Hommes+,24,11.3
2022,Québec,45 à 54 ans,Femmes+,24,14.6
2022,Québec,55 à 64 ans,"Total, toutes les personnes",24,14.2
2022,Québec,55 à 64 ans,Hommes+,24,12.5
2022,Québec,55 à 64 ans,Femmes+,24,15.4
2022,Québec,65 ans et plus,"Total, toutes les personnes",24,13.3
2022,Québec,65 ans et plus,Hommes+,24,12.5
2022,Québec,65 ans et plus,Femmes+,24,14.2
2022,Ontario,"Total, 15 ans et plus","Total, toutes les personnes",35,13.8
2022,Ontario,"Total, 15 ans et plus",Hommes+,35,10.8
2022,Ontario,"Total, 15 ans et plus",Femmes+,35,16.3
2022,Ontario,15 à 24 ans,"Total, toutes les personnes",35,5.0
2022,Ontario,15 à 24 ans,Hommes+,35,
2022,Ontario,15 à 24 ans,Femmes+,35,
2022,Ontario,25 à 54 ans,"Total, toutes les personnes",35,15.0
2022,Ontario,25 à 54 ans,Hommes+,35,12.1
2022,Ontario,25 à 54 ans,Femmes+,35,18.3
2022,Ontario,25 à 34 ans,"Total, toutes les personnes",35,12.5
2022,Ontario,25 à 34 ans,Hommes+,35,9.6
2022,Ontario,25 à 34 ans,Femmes+,35,15.4
2022,Ontario,35 à 44 ans,"Total, toutes les personnes",35,17.5
2022,Ontario,35 à 44 ans,Hommes+,35,13.3
2022,Ontario,35 à 44 ans,Femmes+,35,21.7
2022,Ontario,45 à 54 ans,"Total, toutes les personnes",35,16.3
2022,Ontario,45 à 54 ans,Hommes+,35,13.8
2022,Ontario,45 à 54 ans,Femmes+,35,18.3
2022,Ontario,55 à 64 ans,"Total, toutes les personnes",35,15.4
2022,Ontario,55 à 64 ans,Hommes+,35,13.8
2022,Ontario,55 à 64 ans,Femmes+,35,17.1
2022,Ontario,65 ans et plus,"Total, toutes les personnes",35,14.6
2022,Ontario,65 ans et plus,Hommes+,35,12.9
2022,Ontario,65 ans et plus,Femmes+,35,16.3
2022,Prairies,"Total, 15 ans et plus","Total, toutes les personnes",4,14.2
2022,Prairies,"Total, 15 ans et plus",Hommes+,4,11.3
2022,Prairies,"Total, 15 ans et plus",Femmes+,4,16.7
2022,Prairies,15 à 24 ans,"Total, toutes les personnes",4,
2022,Prairies,15 à 24 ans,Hommes+,4,
2022,Prairies,15 à 24 ans,Femmes+,4,
2022,Prairies,25 à 54 ans,"Total, toutes les personnes",4,15.4
2022,Prairies,25 à 54 ans,Hommes+,4,11.3
2022,Prairies,25 à 54 ans,Femmes+,4,19.6
2022,Prairies,25 à 34 ans,"Total, toutes les personnes",4,13.8
2022,Prairies,25 à 34 ans,Hommes+,4,8.3
2022,Prairies,25 à 34 ans,Femmes+,4,19.2
2022,Prairies,35 à 44 ans,"Total, toutes les personnes",4,17.9
2022,Prairies,35 à 44 ans,Hommes+,4,13.3
2022,Prairies,35 à 44 ans,Femmes+,4,23.3
2022,Prairies,45 à 54 ans,"Total, toutes les personnes",4,13.8
2022,Prairies,45 à 54 ans,Hommes+,4,11.7
2022,Prairies,45 à 54 ans,Femmes+,4,15.8
2022,Prairies,55 à 64 ans,"Total, toutes les personnes",4,14.2
2022,Prairies,55 à 64 ans,Hommes+,4,12.1
2022,Prairies,55 à 64 ans,Femmes+,4,15.8
2022,Prairies,65 ans et plus,"Total, toutes les personnes",4,15.4
2022,Prairies,65 ans et plus,Hommes+,4,14.2
2022,Prairies,65 ans et plus,Femmes+,4,16.3
2022,Colombie-Britannique,"Total, 15 ans et plus","Total, toutes les personnes",59,12.5
2022,Colombie-Britannique,"Total, 15 ans et plus",Hommes+,59,10.4
2022,Colombie-Britannique,"Total, 15 ans et plus",Femmes+,59,14.2
2022,Colombie-Britannique,15 à 24 ans,"Total, toutes les personnes",59,
2022,Colombie-Britannique,15 à 24 ans,Hommes+,59,
2022,Colombie-Britannique,15 à 24 ans,Femmes+,59,
2022,Colombie-Britannique,25 à 54 ans,"Total, toutes les personnes",59,12.9
2022,Colombie-Britannique,25 à 54 ans,Hommes+,59,9.6
2022,Colombie-Britannique,25 à 54 ans,Femmes+,59,15.8
2022,Colombie-Britannique,25 à 34 ans,"Total, toutes les personnes",59,10.8
2022,Colombie-Britannique,25 à 34 ans,Hommes+,59,7.1
2022,Colombie-Britannique,25 à 34 ans,Femmes+,59,14.6
2022,Colombie-Britannique,35 à 44 ans,"Total, toutes les personnes",59,14.2
2022,Colombie-Britannique,35 à 44 ans,Hommes+,59,10.8
2022,Colombie-Britannique,35 à 44 ans,Femmes+,59,17.5
2022,Colombie-Britannique,45 à 54 ans,"Total, toutes les personnes",59,13.8
2022,Colombie-Britannique,45 à 54 ans,Hommes+,59,12.1
2022,Colombie-Britannique,45 à 54 ans,Femmes+,59,15.4
2022,Colombie-Britannique,55 à 64 ans,"Total, toutes les personnes",59,15.0
2022,Colombie-Britannique,55 à 64 ans,Hommes+,59,12.5
2022,Colombie-Britannique,55 à 64 ans,Femmes+,59,17.1
2022,Colombie-Britannique,65 ans et plus,"Total, toutes les personnes",59,15.4
2022,Colombie-Britannique,65 ans et plus,Hommes+,59,14.2
2022,Colombie-Britannique,65 ans et plus,Femmes+,59,16.7
