Year,Géographie,Groupe d'âge,Sexe,Revenu du ménage,Plus haut niveau de scolarité,Minorité visible,Statut d'immigration,GeoCode,Value
2015,,,,,,,,,92.8
2016,,,,,,,,,92.2
2017,,,,,,,,,92.5
2018,,,,,,,,,93.0
2019,,,,,,,,,93.0
2020,,,,,,,,,92.9
2021,,,,,,,,,92.0
2022,,,,,,,,,86.9
2023,,,,,,,,,85.0
2015,Canada,"Total, 18 ans et plus",Hommes,,,,,,93.0
2015,Canada,"Total, 18 ans et plus",Femmes,,,,,,92.6
2015,Canada,18 à 34 ans,Les deux sexes,,,,,,95.9
2015,Canada,18 à 34 ans,Hommes,,,,,,96.1
2015,Canada,18 à 34 ans,Femmes,,,,,,95.6
2015,Canada,35 à 49 ans,Les deux sexes,,,,,,93.4
2015,Canada,35 à 49 ans,Hommes,,,,,,93.9
2015,Canada,35 à 49 ans,Femmes,,,,,,93.0
2015,Canada,50 à 64 ans,Les deux sexes,,,,,,91.1
2015,Canada,50 à 64 ans,Hommes,,,,,,90.9
2015,Canada,50 à 64 ans,Femmes,,,,,,91.2
2015,Canada,65 ans et plus,Les deux sexes,,,,,,89.7
2015,Canada,65 ans et plus,Hommes,,,,,,89.7
2015,Canada,65 ans et plus,Femmes,,,,,,89.7
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Les deux sexes,,,,,10,90.1
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Hommes,,,,,10,89.9
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Femmes,,,,,10,90.3
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,,,,,10,89.7
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,,,,,10,87.7
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,,,,,10,91.7
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,,,,,10,91.0
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,,,,,10,93.1
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,,,,,10,89.1
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,,,,,10,92.0
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,,,,,10,91.3
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,,,,,10,92.6
2015,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,,,,,10,86.8
2015,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,,,,,10,86.2
2015,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,,,,,10,87.3
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Les deux sexes,,,,,11,93.8
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Hommes,,,,,11,94.5
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Femmes,,,,,11,93.1
2015,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,,,,,11,95.6
2015,Île-du-Prince-Édouard,18 à 34 ans,Hommes,,,,,11,99.3
2015,Île-du-Prince-Édouard,18 à 34 ans,Femmes,,,,,11,92.0
2015,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,,,,,11,94.7
2015,Île-du-Prince-Édouard,35 à 49 ans,Hommes,,,,,11,93.0
2015,Île-du-Prince-Édouard,35 à 49 ans,Femmes,,,,,11,96.4
2015,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,,,,,11,92.6
2015,Île-du-Prince-Édouard,50 à 64 ans,Hommes,,,,,11,92.5
2015,Île-du-Prince-Édouard,50 à 64 ans,Femmes,,,,,11,92.8
2015,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,,,,,11,92.0
2015,Île-du-Prince-Édouard,65 ans et plus,Hommes,,,,,11,93.0
2015,Île-du-Prince-Édouard,65 ans et plus,Femmes,,,,,11,91.2
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Les deux sexes,,,,,12,91.8
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Hommes,,,,,12,91.1
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Femmes,,,,,12,92.4
2015,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,,,,,12,92.9
2015,Nouvelle-Écosse,18 à 34 ans,Hommes,,,,,12,90.4
2015,Nouvelle-Écosse,18 à 34 ans,Femmes,,,,,12,95.5
2015,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,,,,,12,95.3
2015,Nouvelle-Écosse,35 à 49 ans,Hommes,,,,,12,94.8
2015,Nouvelle-Écosse,35 à 49 ans,Femmes,,,,,12,95.7
2015,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,,,,,12,90.4
2015,Nouvelle-Écosse,50 à 64 ans,Hommes,,,,,12,91.0
2015,Nouvelle-Écosse,50 à 64 ans,Femmes,,,,,12,90.0
2015,Nouvelle-Écosse,65 ans et plus,Les deux sexes,,,,,12,88.4
2015,Nouvelle-Écosse,65 ans et plus,Hommes,,,,,12,87.9
2015,Nouvelle-Écosse,65 ans et plus,Femmes,,,,,12,88.7
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Les deux sexes,,,,,13,89.5
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Hommes,,,,,13,91.4
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Femmes,,,,,13,87.8
2015,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,,,,,13,90.5
2015,Nouveau-Brunswick,18 à 34 ans,Hommes,,,,,13,95.8
2015,Nouveau-Brunswick,18 à 34 ans,Femmes,,,,,13,85.1
2015,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,,,,,13,91.6
2015,Nouveau-Brunswick,35 à 49 ans,Hommes,,,,,13,93.5
2015,Nouveau-Brunswick,35 à 49 ans,Femmes,,,,,13,90.0
2015,Nouveau-Brunswick,50 à 64 ans,Les deux sexes,,,,,13,87.7
2015,Nouveau-Brunswick,50 à 64 ans,Hommes,,,,,13,90.1
2015,Nouveau-Brunswick,50 à 64 ans,Femmes,,,,,13,85.5
2015,Nouveau-Brunswick,65 ans et plus,Les deux sexes,,,,,13,88.4
2015,Nouveau-Brunswick,65 ans et plus,Hommes,,,,,13,85.1
2015,Nouveau-Brunswick,65 ans et plus,Femmes,,,,,13,91.0
2015,Québec,"Total, 18 ans et plus",Les deux sexes,,,,,24,93.3
2015,Québec,"Total, 18 ans et plus",Hommes,,,,,24,93.5
2015,Québec,"Total, 18 ans et plus",Femmes,,,,,24,93.0
2015,Québec,18 à 34 ans,Les deux sexes,,,,,24,95.8
2015,Québec,18 à 34 ans,Hommes,,,,,24,96.1
2015,Québec,18 à 34 ans,Femmes,,,,,24,95.4
2015,Québec,35 à 49 ans,Les deux sexes,,,,,24,93.7
2015,Québec,35 à 49 ans,Hommes,,,,,24,93.5
2015,Québec,35 à 49 ans,Femmes,,,,,24,93.9
2015,Québec,50 à 64 ans,Les deux sexes,,,,,24,92.4
2015,Québec,50 à 64 ans,Hommes,,,,,24,93.1
2015,Québec,50 à 64 ans,Femmes,,,,,24,91.6
2015,Québec,65 ans et plus,Les deux sexes,,,,,24,90.5
2015,Québec,65 ans et plus,Hommes,,,,,24,90.1
2015,Québec,65 ans et plus,Femmes,,,,,24,90.7
2015,Ontario,"Total, 18 ans et plus",Les deux sexes,,,,,35,93.0
2015,Ontario,"Total, 18 ans et plus",Hommes,,,,,35,93.3
2015,Ontario,"Total, 18 ans et plus",Femmes,,,,,35,92.7
2015,Ontario,18 à 34 ans,Les deux sexes,,,,,35,96.6
2015,Ontario,18 à 34 ans,Hommes,,,,,35,97.2
2015,Ontario,18 à 34 ans,Femmes,,,,,35,96.0
2015,Ontario,35 à 49 ans,Les deux sexes,,,,,35,93.2
2015,Ontario,35 à 49 ans,Hommes,,,,,35,94.1
2015,Ontario,35 à 49 ans,Femmes,,,,,35,92.4
2015,Ontario,50 à 64 ans,Les deux sexes,,,,,35,90.9
2015,Ontario,50 à 64 ans,Hommes,,,,,35,90.4
2015,Ontario,50 à 64 ans,Femmes,,,,,35,91.4
2015,Ontario,65 ans et plus,Les deux sexes,,,,,35,89.7
2015,Ontario,65 ans et plus,Hommes,,,,,35,89.3
2015,Ontario,65 ans et plus,Femmes,,,,,35,90.1
2015,Manitoba,"Total, 18 ans et plus",Les deux sexes,,,,,46,92.0
2015,Manitoba,"Total, 18 ans et plus",Hommes,,,,,46,93.2
2015,Manitoba,"Total, 18 ans et plus",Femmes,,,,,46,90.9
2015,Manitoba,18 à 34 ans,Les deux sexes,,,,,46,93.7
2015,Manitoba,18 à 34 ans,Hommes,,,,,46,94.0
2015,Manitoba,18 à 34 ans,Femmes,,,,,46,93.4
2015,Manitoba,35 à 49 ans,Les deux sexes,,,,,46,94.0
2015,Manitoba,35 à 49 ans,Hommes,,,,,46,95.8
2015,Manitoba,35 à 49 ans,Femmes,,,,,46,92.1
2015,Manitoba,50 à 64 ans,Les deux sexes,,,,,46,92.3
2015,Manitoba,50 à 64 ans,Hommes,,,,,46,93.5
2015,Manitoba,50 à 64 ans,Femmes,,,,,46,91.1
2015,Manitoba,65 ans et plus,Les deux sexes,,,,,46,85.9
