Year,Maladies,Value
2010,Cancer,538.3
2010,Maladie pulmonaire obstructive chronique,980.0
2010,Creutzfeldt-Jakob,0.11
2010,"Démence, y compris la maladie d'Alzheimer",1569.0
2010,Diabète,686.0
2010,VIH et SIDA,6.7
2010,Hypertension,2525.0
2010,Cardiopathies ischémiques,738.0
2010,Salmonellose,20.63
2010,Tuberculose,4.7
2011,Cancer,542.2
2011,Maladie pulmonaire obstructive chronique,920.0
2011,Creutzfeldt-Jakob,0.15
2011,"Démence, y compris la maladie d'Alzheimer",1551.0
2011,Diabète,662.0
2011,VIH et SIDA,6.57
2011,Hypertension,2399.0
2011,Cardiopathies ischémiques,712.0
2011,Salmonellose,19.28
2011,Tuberculose,4.7
2012,Cancer,530.4
2012,Maladie pulmonaire obstructive chronique,883.0
2012,Creutzfeldt-Jakob,0.18
2012,"Démence, y compris la maladie d'Alzheimer",1514.0
2012,Diabète,619.0
2012,VIH et SIDA,5.92
2012,Hypertension,2236.0
2012,Cardiopathies ischémiques,681.0
2012,Salmonellose,19.67
2012,Tuberculose,4.9
2013,Cancer,524.4
2013,Maladie pulmonaire obstructive chronique,846.0
2013,Creutzfeldt-Jakob,0.15
2013,"Démence, y compris la maladie d'Alzheimer",1480.0
2013,Diabète,627.0
2013,VIH et SIDA,5.83
2013,Hypertension,2210.0
2013,Cardiopathies ischémiques,658.0
2013,Salmonellose,17.63
2013,Tuberculose,4.7
2014,Cancer,519.1
2014,Maladie pulmonaire obstructive chronique,860.0
2014,Creutzfeldt-Jakob,0.16
2014,"Démence, y compris la maladie d'Alzheimer",1489.0
2014,Diabète,615.0
2014,VIH et SIDA,5.76
2014,Hypertension,2115.0
2014,Cardiopathies ischémiques,641.0
2014,Salmonellose,21.56
2014,Tuberculose,4.5
2015,Cancer,517.1
2015,Maladie pulmonaire obstructive chronique,828.0
2015,Creutzfeldt-Jakob,0.15
2015,"Démence, y compris la maladie d'Alzheimer",1467.0
2015,Diabète,614.0
2015,VIH et SIDA,5.82
2015,Hypertension,2048.0
2015,Cardiopathies ischémiques,632.0
2015,Salmonellose,21.7
2015,Tuberculose,4.6
2016,Cancer,514.4
2016,Maladie pulmonaire obstructive chronique,819.0
2016,Creutzfeldt-Jakob,0.18
2016,"Démence, y compris la maladie d'Alzheimer",1445.0
2016,Diabète,616.0
2016,VIH et SIDA,6.42
2016,Hypertension,1975.0
2016,Cardiopathies ischémiques,629.0
2016,Salmonellose,21.37
2016,Tuberculose,4.8
2017,Cancer,495.9
2017,Creutzfeldt-Jakob,0.24
2017,VIH et SIDA,6.48
2017,Salmonellose,19.5
2017,Tuberculose,4.9
2018,Creutzfeldt-Jakob,0.21
2018,VIH et SIDA,6.91
2018,Salmonellose,19.24
