Year,data.Geography,data.Economic family type,GeoCode,Value
2015,,,,62400.0
2016,,,,62400.0
2017,,,,63900.0
2018,,,,64100.0
2019,,,,64500.0
2020,,,,69000.0
2021,,,,68400.0
2015,data.Canada,data.Economic families,,86500.0
2015,data.Canada,data.Elderly families,,64500.0
2015,data.Canada,data.Elderly couples,,63000.0
2015,data.Canada,data.Other elderly families,,71300.0
2015,data.Canada,data.Non-elderly families,,92900.0
2015,data.Canada,data.Couples,,83700.0
2015,data.Canada,data.Couples with children,,105600.0
2015,data.Canada,data.Couples with other relatives,,128400.0
2015,data.Canada,data.Lone-parent families,,50800.0
2015,data.Canada,data.Male lone-parent families,,64500.0
2015,data.Canada,data.Female lone-parent families,,47700.0
2015,data.Canada,data.Other non-elderly families,,75700.0
2015,data.Canada,data.Persons not in an economic family,,31600.0
2015,data.Canada,data.Elderly persons not in an economic family,,29500.0
2015,data.Canada,data.Elderly males not in an economic family,,30600.0
2015,data.Canada,data.Elderly females not in an economic family,,28900.0
2015,data.Canada,data.Non-elderly persons not in an economic family,,33000.0
2015,data.Canada,data.Non-elderly males not in an economic family,,35700.0
2015,data.Canada,data.Non-elderly females not in an economic family,,29300.0
2015,data.Atlantic provinces,data.Economic families and persons not in an economic family,,56100.0
2015,data.Atlantic provinces,data.Economic families,,77100.0
2015,data.Atlantic provinces,data.Elderly families,,55000.0
2015,data.Atlantic provinces,data.Elderly couples,,54200.0
2015,data.Atlantic provinces,data.Other elderly families,,58500.0
2015,data.Atlantic provinces,data.Non-elderly families,,85400.0
2015,data.Atlantic provinces,data.Couples,,75900.0
2015,data.Atlantic provinces,data.Couples with children,,100900.0
2015,data.Atlantic provinces,data.Couples with other relatives,,114800.0
2015,data.Atlantic provinces,data.Lone-parent families,,43000.0
2015,data.Atlantic provinces,data.Male lone-parent families,,52300.0
2015,data.Atlantic provinces,data.Female lone-parent families,,41600.0
2015,data.Atlantic provinces,data.Other non-elderly families,,63500.0
2015,data.Atlantic provinces,data.Persons not in an economic family,,27000.0
2015,data.Atlantic provinces,data.Elderly persons not in an economic family,,26200.0
2015,data.Atlantic provinces,data.Elderly males not in an economic family,,29100.0
2015,data.Atlantic provinces,data.Elderly females not in an economic family,,25200.0
2015,data.Atlantic provinces,data.Non-elderly persons not in an economic family,,27700.0
2015,data.Atlantic provinces,data.Non-elderly males not in an economic family,,29600.0
2015,data.Atlantic provinces,data.Non-elderly females not in an economic family,,26400.0
2015,data.Newfoundland and Labrador,data.Economic families and persons not in an economic family,10,60300.0
2015,data.Newfoundland and Labrador,data.Economic families,10,85200.0
2015,data.Newfoundland and Labrador,data.Elderly families,10,46900.0
2015,data.Newfoundland and Labrador,data.Elderly couples,10,44800.0
2015,data.Newfoundland and Labrador,data.Other elderly families,10,61100.0
2015,data.Newfoundland and Labrador,data.Non-elderly families,10,96100.0
2015,data.Newfoundland and Labrador,data.Couples,10,79300.0
2015,data.Newfoundland and Labrador,data.Couples with children,10,108500.0
2015,data.Newfoundland and Labrador,data.Couples with other relatives,10,141100.0
2015,data.Newfoundland and Labrador,data.Lone-parent families,10,37500.0
2015,data.Newfoundland and Labrador,data.Male lone-parent families,10,
2015,data.Newfoundland and Labrador,data.Female lone-parent families,10,32700.0
2015,data.Newfoundland and Labrador,data.Other non-elderly families,10,76600.0
2015,data.Newfoundland and Labrador,data.Persons not in an economic family,10,25500.0
2015,data.Newfoundland and Labrador,data.Elderly persons not in an economic family,10,24600.0
2015,data.Newfoundland and Labrador,data.Elderly males not in an economic family,10,28600.0
2015,data.Newfoundland and Labrador,data.Elderly females not in an economic family,10,23100.0
2015,data.Newfoundland and Labrador,data.Non-elderly persons not in an economic family,10,26400.0
2015,data.Newfoundland and Labrador,data.Non-elderly males not in an economic family,10,29800.0
2015,data.Newfoundland and Labrador,data.Non-elderly females not in an economic family,10,23500.0
2015,data.Prince Edward Island,data.Economic families and persons not in an economic family,11,57500.0
2015,data.Prince Edward Island,data.Economic families,11,74200.0
2015,data.Prince Edward Island,data.Elderly families,11,60100.0
2015,data.Prince Edward Island,data.Elderly couples,11,59600.0
2015,data.Prince Edward Island,data.Other elderly families,11,62600.0
2015,data.Prince Edward Island,data.Non-elderly families,11,79900.0
2015,data.Prince Edward Island,data.Couples,11,70300.0
2015,data.Prince Edward Island,data.Couples with children,11,92200.0
2015,data.Prince Edward Island,data.Couples with other relatives,11,108400.0
2015,data.Prince Edward Island,data.Lone-parent families,11,41800.0
2015,data.Prince Edward Island,data.Male lone-parent families,11,
2015,data.Prince Edward Island,data.Female lone-parent families,11,41800.0
2015,data.Prince Edward Island,data.Other non-elderly families,11,
2015,data.Prince Edward Island,data.Persons not in an economic family,11,28000.0
2015,data.Prince Edward Island,data.Elderly persons not in an economic family,11,26800.0
2015,data.Prince Edward Island,data.Elderly males not in an economic family,11,28400.0
