Year,Units,Geography,Type of cyber-related violation,Cyber-related violation,Value
2015,"Rate per 100,000 population",Alberta,,,69.1
2016,"Rate per 100,000 population",Alberta,,,98.2
2017,"Rate per 100,000 population",Alberta,,,109.7
2018,"Rate per 100,000 population",Alberta,,,140.2
2019,"Rate per 100,000 population",Alberta,,,165.8
2020,"Rate per 100,000 population",Alberta,,,177.9
2021,"Rate per 100,000 population",Alberta,,,194.3
2022,"Rate per 100,000 population",Alberta,,,207.2
2015,"Rate per 100,000 population",British Columbia,,,85.9
2016,"Rate per 100,000 population",British Columbia,,,128.5
2017,"Rate per 100,000 population",British Columbia,,,113.7
2018,"Rate per 100,000 population",British Columbia,,,144.2
2019,"Rate per 100,000 population",British Columbia,,,196.4
2020,"Rate per 100,000 population",British Columbia,,,286.4
2021,"Rate per 100,000 population",British Columbia,,,304.1
2022,"Rate per 100,000 population",British Columbia,,,343.1
2015,Number,Canada,Against a person,Luring a child via a computer,850.0
2015,Number,Canada,Against a person,Non-consensual distribution of intimate images,97.0
2015,Number,Canada,Against a person,Extortion,709.0
2015,Number,Canada,Against a person,Criminal harassment,1001.0
2015,Number,Canada,Against a person,Indecent/Harassing communications,1202.0
2015,Number,Canada,Against a person,Uttering threats,1139.0
2015,Number,Canada,Against a person,Fraud,8429.0
2015,Number,Canada,Against a person,Identity theft,191.0
2015,Number,Canada,Against a person,Identity fraud,695.0
2015,Number,Canada,Against a person,Child pornography,1753.0
2015,Number,Canada,Against a person,Making or distribution of child pornography,850.0
2016,Number,Canada,Against a person,Luring a child via a computer,1108.0
2016,Number,Canada,Against a person,Non-consensual distribution of intimate images,295.0
2016,Number,Canada,Against a person,Extortion,797.0
2016,Number,Canada,Against a person,Criminal harassment,1058.0
2016,Number,Canada,Against a person,Indecent/Harassing communications,1655.0
2016,Number,Canada,Against a person,Uttering threats,1356.0
2016,Number,Canada,Against a person,Fraud,11383.0
2016,Number,Canada,Against a person,Identity theft,260.0
2016,Number,Canada,Against a person,Identity fraud,828.0
2016,Number,Canada,Against a person,Child pornography,1278.0
2016,Number,Canada,Against a person,Making or distribution of child pornography,2886.0
2017,Number,Canada,Against a person,Luring a child via a computer,1132.0
2017,Number,Canada,Against a person,Non-consensual distribution of intimate images,516.0
2017,Number,Canada,Against a person,Extortion,893.0
2017,Number,Canada,Against a person,Criminal harassment,1291.0
2017,Number,Canada,Against a person,Indecent/Harassing communications,2302.0
2017,Number,Canada,Against a person,Uttering threats,1674.0
2017,Number,Canada,Against a person,Fraud,13426.0
2017,Number,Canada,Against a person,Identity theft,280.0
2017,Number,Canada,Against a person,Identity fraud,1082.0
2017,Number,Canada,Against a person,Child pornography,1041.0
2017,Number,Canada,Against a person,Making or distribution of child pornography,2868.0
2018,Number,Canada,Against a person,Luring a child via a computer,1280.0
2018,Number,Canada,Against a person,Non-consensual distribution of intimate images,569.0
2018,Number,Canada,Against a person,Extortion,1863.0
2018,Number,Canada,Against a person,Criminal harassment,1396.0
2018,Number,Canada,Against a person,Indecent/Harassing communications,2708.0
2018,Number,Canada,Against a person,Uttering threats,2224.0
2018,Number,Canada,Against a person,Fraud,16641.0
2018,Number,Canada,Against a person,Identity theft,284.0
2018,Number,Canada,Against a person,Identity fraud,1369.0
2018,Number,Canada,Against a person,Child pornography,621.0
2018,Number,Canada,Against a person,Making or distribution of child pornography,3113.0
2019,Number,Canada,Against a person,Luring a child via a computer,1461.0
2019,Number,Canada,Against a person,Non-consensual distribution of intimate images,726.0
2019,Number,Canada,Against a person,Extortion,1447.0
2019,Number,Canada,Against a person,Criminal harassment,2720.0
2019,Number,Canada,Against a person,Indecent/Harassing communications,4996.0
2019,Number,Canada,Against a person,Uttering threats,4328.0
2019,Number,Canada,Against a person,Fraud,22746.0
2019,Number,Canada,Against a person,Identity theft,388.0
2019,Number,Canada,Against a person,Identity fraud,1950.0
2019,Number,Canada,Against a person,Child pornography,1133.0
2019,Number,Canada,Against a person,Making or distribution of child pornography,4242.0
2020,Number,Canada,Against a person,Luring a child via a computer,1757.0
2020,Number,Canada,Against a person,Non-consensual distribution of intimate images,858.0
2020,Number,Canada,Against a person,Extortion,2571.0
2020,Number,Canada,Against a person,Criminal harassment,3184.0
2020,Number,Canada,Against a person,Indecent/Harassing communications,6187.0
2020,Number,Canada,Against a person,Uttering threats,5128.0
2020,Number,Canada,Against a person,Fraud,29781.0
2020,Number,Canada,Against a person,Identity theft,742.0
2020,Number,Canada,Against a person,Identity fraud,4782.0
2020,Number,Canada,Against a person,Child pornography,1598.0
2020,Number,Canada,Against a person,Making or distribution of child pornography,5899.0
2021,Number,Canada,Against a person,Luring a child via a computer,1846.0
2021,Number,Canada,Against a person,Non-consensual distribution of intimate images,870.0
2021,Number,Canada,Against a person,Extortion,3160.0
2021,Number,Canada,Against a person,Criminal harassment,3347.0
2021,Number,Canada,Against a person,Indecent/Harassing communications,6711.0
2021,Number,Canada,Against a person,Uttering threats,5007.0
2021,Number,Canada,Against a person,Fraud,34080.0
2021,Number,Canada,Against a person,Identity theft,864.0
2021,Number,Canada,Against a person,Identity fraud,5316.0
2021,Number,Canada,Against a person,Child pornography,1903.0
2021,Number,Canada,Against a person,Making or distribution of child pornography,5531.0
2022,Number,Canada,Against a person,Luring a child via a computer,1935.0
2022,Number,Canada,Against a person,Non-consensual distribution of intimate images,896.0
2022,Number,Canada,Against a person,Extortion,4570.0
2022,Number,Canada,Against a person,Criminal harassment,2868.0
2022,Number,Canada,Against a person,Indecent/Harassing communications,5583.0
2022,Number,Canada,Against a person,Uttering threats,4460.0
2022,Number,Canada,Against a person,Fraud,36839.0
2022,Number,Canada,Against a person,Identity theft,766.0
2022,Number,Canada,Against a person,Identity fraud,3735.0
2022,Number,Canada,Against a person,Child pornography,1696.0
2022,Number,Canada,Against a person,Making or distribution of child pornography,7435.0
2015,"Rate per 100,000 population",Manitoba,,,23.3
2016,"Rate per 100,000 population",Manitoba,,,43.8
2017,"Rate per 100,000 population",Manitoba,,,54.9
2018,"Rate per 100,000 population",Manitoba,,,65.7
2019,"Rate per 100,000 population",Manitoba,,,106.5
2020,"Rate per 100,000 population",Manitoba,,,144.2
2021,"Rate per 100,000 population",Manitoba,,,156.8
2022,"Rate per 100,000 population",Manitoba,,,165.2
2015,"Rate per 100,000 population",New Brunswick,,,73.6
2016,"Rate per 100,000 population",New Brunswick,,,83.8
2017,"Rate per 100,000 population",New Brunswick,,,116.1
2018,"Rate per 100,000 population",New Brunswick,,,133.6
2019,"Rate per 100,000 population",New Brunswick,,,150.2
2020,"Rate per 100,000 population",New Brunswick,,,189.8
2021,"Rate per 100,000 population",New Brunswick,,,195.8
2022,"Rate per 100,000 population",New Brunswick,,,196.9
2015,"Rate per 100,000 population",Newfoundland and Labrador,,,36.0
2016,"Rate per 100,000 population",Newfoundland and Labrador,,,40.9
2017,"Rate per 100,000 population",Newfoundland and Labrador,,,53.2
2018,"Rate per 100,000 population",Newfoundland and Labrador,,,79.9
2019,"Rate per 100,000 population",Newfoundland and Labrador,,,119.0
2020,"Rate per 100,000 population",Newfoundland and Labrador,,,145.7
2021,"Rate per 100,000 population",Newfoundland and Labrador,,,141.9
2022,"Rate per 100,000 population",Newfoundland and Labrador,,,167.4
2015,"Rate per 100,000 population",Northwest Territories,,,88.5
