Year,Geography,Age group,Gender,Indigenous group,Educational attainment,Visible minority,Immigrant status,GeoCode,Value
2015,,,,,,,,,61.4
2016,,,,,,,,,61.1
2017,,,,,,,,,61.7
2018,,,,,,,,,61.9
2019,,,,,,,,,62.3
2020,,,,,,,,,58.1
2021,,,,,,,,,60.5
2022,,,,,,,,,62.0
2023,,,,,,,,,62.2
2024,,,,,,,,,61.3
2025,,,,,,,,,60.8
2015,Newfoundland and Labrador,,,,,,,10,53.7
2015,Prince Edward Island,,,,,,,11,60.7
2015,Nova Scotia,,,,,,,12,57.1
2015,New Brunswick,,,,,,,13,56.5
2015,Quebec,,,,,,,24,59.9
2015,Ontario,,,,,,,35,60.9
2015,Manitoba,,,,,,,46,64.8
2015,Saskatchewan,,,,,,,47,66.3
2015,Alberta,,,,,,,48,68.8
2015,British Columbia,,,,,,,59,60.2
2015,Yukon,,,,,,,60,69.8
2015,Northwest Territories,,,,,,,61,69.7
2015,Nunavut,,,,,,,62,53.7
2016,Newfoundland and Labrador,,,,,,,10,52.4
2016,Prince Edward Island,,,,,,,11,59.4
2016,Nova Scotia,,,,,,,12,56.5
2016,New Brunswick,,,,,,,13,56.7
2016,Quebec,,,,,,,24,59.9
2016,Ontario,,,,,,,35,60.7
2016,Manitoba,,,,,,,46,63.9
2016,Saskatchewan,,,,,,,47,65.2
2016,Alberta,,,,,,,48,66.3
2016,British Columbia,,,,,,,59,61.2
2016,Yukon,,,,,,,60,71.9
2016,Northwest Territories,,,,,,,61,69.6
2016,Nunavut,,,,,,,62,56.3
2017,Newfoundland and Labrador,,,,,,,10,50.5
2017,Prince Edward Island,,,,,,,11,60.1
2017,Nova Scotia,,,,,,,12,56.3
2017,New Brunswick,,,,,,,13,56.8
2017,Quebec,,,,,,,24,60.9
2017,Ontario,,,,,,,35,61.2
2017,Manitoba,,,,,,,46,64.0
2017,Saskatchewan,,,,,,,47,64.8
2017,Alberta,,,,,,,48,66.3
2017,British Columbia,,,,,,,59,62.6
2017,Yukon,,,,,,,60,73.6
2017,Northwest Territories,,,,,,,61,66.7
2017,Nunavut,,,,,,,62,55.1
2018,Newfoundland and Labrador,,,,,,,10,50.8
2018,Prince Edward Island,,,,,,,11,60.5
2018,Nova Scotia,,,,,,,12,56.5
2018,New Brunswick,,,,,,,13,56.5
2018,Quebec,,,,,,,24,61.5
2018,Ontario,,,,,,,35,61.2
2018,Manitoba,,,,,,,46,63.5
2018,Saskatchewan,,,,,,,47,64.6
2018,Alberta,,,,,,,48,67.1
2018,British Columbia,,,,,,,59,62.6
2018,Yukon,,,,,,,60,72.0
2018,Northwest Territories,,,,,,,61,67.2
2018,Nunavut,,,,,,,62,54.8
2019,Newfoundland and Labrador,,,,,,,10,51.5
2019,Prince Edward Island,,,,,,,11,60.7
2019,Nova Scotia,,,,,,,12,57.3
2019,New Brunswick,,,,,,,13,56.4
2019,Quebec,,,,,,,24,61.8
2019,Ontario,,,,,,,35,61.6
2019,Manitoba,,,,,,,46,63.5
2019,Saskatchewan,,,,,,,47,65.2
2019,Alberta,,,,,,,48,66.8
2019,British Columbia,,,,,,,59,63.3
2019,Yukon,,,,,,,60,73.0
2019,Northwest Territories,,,,,,,61,67.8
2019,Nunavut,,,,,,,62,55.2
2020,Newfoundland and Labrador,,,,,,,10,48.4
2020,Prince Edward Island,,,,,,,11,57.8
2020,Nova Scotia,,,,,,,12,54.4
2020,New Brunswick,,,,,,,13,54.3
2020,Quebec,,,,,,,24,58.2
2020,Ontario,,,,,,,35,57.5
2020,Manitoba,,,,,,,46,60.3
2020,Saskatchewan,,,,,,,47,61.7
2020,Alberta,,,,,,,48,61.1
2020,British Columbia,,,,,,,59,58.6
2020,Yukon,,,,,,,60,68.0
2020,Northwest Territories,,,,,,,61,64.2
2020,Nunavut,,,,,,,62,49.6
2021,Newfoundland and Labrador,,,,,,,10,50.0
2021,Prince Edward Island,,,,,,,11,59.3
2021,Nova Scotia,,,,,,,12,57.1
2021,New Brunswick,,,,,,,13,55.7
2021,Quebec,,,,,,,24,60.3
2021,Ontario,,,,,,,35,59.9
2021,Manitoba,,,,,,,46,62.5
2021,Saskatchewan,,,,,,,47,63.1
2021,Alberta,,,,,,,48,63.7
2021,British Columbia,,,,,,,59,61.6
2021,Yukon,,,,,,,60,69.3
2021,Northwest Territories,,,,,,,61,69.0
2021,Nunavut,,,,,,,62,55.8
2022,Newfoundland and Labrador,,,,,,,10,51.7
2022,Prince Edward Island,,,,,,,11,60.2
2022,Nova Scotia,,,,,,,12,57.7
2022,New Brunswick,,,,,,,13,56.1
2022,Quebec,,,,,,,24,61.6
2022,Ontario,,,,,,,35,61.8
2022,Manitoba,,,,,,,46,63.7
2022,Saskatchewan,,,,,,,47,64.6
2022,Alberta,,,,,,,48,65.5
2022,British Columbia,,,,,,,59,62.5
2022,Yukon,,,,,,,60,70.4
2022,Northwest Territories,,,,,,,61,72.2
2022,Nunavut,,,,,,,62,54.8
2023,Newfoundland and Labrador,,,,,,,10,51.8
2023,Prince Edward Island,,,,,,,11,61.4
2023,Nova Scotia,,,,,,,12,57.6
2023,New Brunswick,,,,,,,13,56.4
2023,Quebec,,,,,,,24,62.4
2023,Ontario,,,,,,,35,62.0
2023,Manitoba,,,,,,,46,63.8
2023,Saskatchewan,,,,,,,47,64.0
2023,Alberta,,,,,,,48,65.4
2023,British Columbia,,,,,,,59,62.4
2023,Yukon,,,,,,,60,71.4
2023,Northwest Territories,,,,,,,61,69.9
2023,Nunavut,,,,,,,62,53.7
2024,Newfoundland and Labrador,,,,,,,10,52.5
2024,Prince Edward Island,,,,,,,11,61.3
2024,Nova Scotia,,,,,,,12,57.8
2024,New Brunswick,,,,,,,13,56.3
2024,Quebec,,,,,,,24,61.4
2024,Ontario,,,,,,,35,60.7
2024,Manitoba,,,,,,,46,63.1
2024,Saskatchewan,,,,,,,47,63.7
2024,Alberta,,,,,,,48,64.4
2024,British Columbia,,,,,,,59,61.6
2024,Yukon,,,,,,,60,73.0
2024,Northwest Territories,,,,,,,61,66.6
2024,Nunavut,,,,,,,62,54.4
2025,Newfoundland and Labrador,,,,,,,10,52.0
2025,Prince Edward Island,,,,,,,11,60.8
2025,Nova Scotia,,,,,,,12,57.3
2025,New Brunswick,,,,,,,13,56.2
2025,Quebec,,,,,,,24,61.3
2025,Ontario,,,,,,,35,60.0
2025,Manitoba,,,,,,,46,62.7
2025,Saskatchewan,,,,,,,47,63.9
2025,Alberta,,,,,,,48,63.9
2025,British Columbia,,,,,,,59,60.9
2025,Yukon,,,,,,,60,72.8
2025,Northwest Territories,,,,,,,61,65.5
2025,Nunavut,,,,,,,62,53.6
2015,"Avalon Peninsula, Newfoundland and Labrador",,,,,,,,60.2
2015,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",,,,,,,,45.5
2015,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",,,,,,,,48.4
2015,"Cape Breton, Nova Scotia",,,,,,,,46.2
2015,"North Shore, Nova Scotia",,,,,,,,55.2
2015,"Annapolis Valley, Nova Scotia",,,,,,,,52.6
2015,"Southern, Nova Scotia",,,,,,,,50.5
2015,"Halifax, Nova Scotia",,,,,,,,64.6
2015,"Campbellton-Miramichi, New Brunswick",,,,,,,,47.1
2015,"Moncton-Richibucto, New Brunswick",,,,,,,,60.0
2015,"Saint John-St. Stephen, New Brunswick",,,,,,,,58.3
2015,"Fredericton-Oromocto, New Brunswick",,,,,,,,59.8
2015,"Edmundston-Woodstock, New Brunswick",,,,,,,,56.8
2015,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,,,,,45.7
2015,"Bas-Saint-Laurent, Quebec",,,,,,,,49.7
2015,"Capitale-Nationale, Quebec",,,,,,,,65.1
2015,"Chaudière-Appalaches, Quebec",,,,,,,,62.5
2015,"Estrie, Quebec",,,,,,,,56.9
2015,"Centre-du-Québec, Quebec",,,,,,,,58.1
2015,"Montérégie, Quebec",,,,,,,,62.2
2015,"Montréal, Quebec",,,,,,,,58.3
2015,"Laval, Quebec",,,,,,,,59.6
2015,"Lanaudière, Quebec",,,,,,,,62.1
2015,"Laurentides, Quebec",,,,,,,,63.1
2015,"Outaouais, Quebec",,,,,,,,62.3
2015,"Abitibi-Témiscamingue, Quebec",,,,,,,,58.9
2015,"Mauricie, Quebec",,,,,,,,51.5
2015,"Saguenay-Lac-Saint-Jean, Quebec",,,,,,,,55.2
2015,"Côte-Nord and Nord-du-Québec, Quebec",,,,,,,,55.2
2015,"Ottawa, Ontario",,,,,,,,62.6
2015,"Kingston-Pembroke, Ontario",,,,,,,,53.2
2015,"Muskoka-Kawarthas, Ontario",,,,,,,,51.2
2015,"Toronto, Ontario",,,,,,,,62.1
2015,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,66.0
2015,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,60.2
2015,"London, Ontario",,,,,,,,59.9
2015,"Windsor-Sarnia, Ontario",,,,,,,,56.3
2015,"Stratford-Bruce Peninsula, Ontario",,,,,,,,59.4
2015,"Northeast, Ontario",,,,,,,,54.2
2015,"Northwest, Ontario",,,,,,,,56.7
2015,"Southeast, Manitoba",,,,,,,,63.2
2015,"South Central and North Central, Manitoba",,,,,,,,65.3
2015,"Southwest, Manitoba",,,,,,,,65.9
2015,"Winnipeg, Manitoba",,,,,,,,65.2
2015,"Interlake, Manitoba",,,,,,,,62.2
2015,"Parklands and Northern, Manitoba",,,,,,,,64.4
2015,"Regina-Moose Mountain, Saskatchewan",,,,,,,,69.7
2015,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,64.9
2015,"Saskatoon-Biggar, Saskatchewan",,,,,,,,66.9
2015,"Yorkton-Melville, Saskatchewan",,,,,,,,60.1
2015,"Prince Albert and Northern, Saskatchewan",,,,,,,,62.8
2015,"Lethbridge-Medicine Hat, Alberta",,,,,,,,64.2
2015,"Camrose-Drumheller, Alberta",,,,,,,,64.2
2015,"Calgary, Alberta",,,,,,,,69.5
2015,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,69.4
2015,"Red Deer, Alberta",,,,,,,,69.0
2015,"Edmonton, Alberta",,,,,,,,69.1
2015,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,72.7
2015,"Vancouver Island and Coast, British Columbia",,,,,,,,55.3
2015,"Lower Mainland-Southwest, British Columbia",,,,,,,,61.6
2015,"Thompson-Okanagan, British Columbia",,,,,,,,58.4
2015,"Kootenay, British Columbia",,,,,,,,56.3
2015,"Cariboo, British Columbia",,,,,,,,63.1
2015,"North Coast and Nechako, British Columbia",,,,,,,,63.8
2015,"Northeast, British Columbia",,,,,,,,72.5
2016,"Avalon Peninsula, Newfoundland and Labrador",,,,,,,,59.1
2016,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",,,,,,,,42.5
2016,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",,,,,,,,48.9
2016,"Cape Breton, Nova Scotia",,,,,,,,45.3
2016,"North Shore, Nova Scotia",,,,,,,,53.5
2016,"Annapolis Valley, Nova Scotia",,,,,,,,53.4
2016,"Southern, Nova Scotia",,,,,,,,49.1
2016,"Halifax, Nova Scotia",,,,,,,,64.3
2016,"Campbellton-Miramichi, New Brunswick",,,,,,,,45.9
2016,"Moncton-Richibucto, New Brunswick",,,,,,,,59.5
2016,"Saint John-St. Stephen, New Brunswick",,,,,,,,58.9
2016,"Fredericton-Oromocto, New Brunswick",,,,,,,,61.4
2016,"Edmundston-Woodstock, New Brunswick",,,,,,,,58.6
2016,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,,,,,44.9
2016,"Bas-Saint-Laurent, Quebec",,,,,,,,51.3
2016,"Capitale-Nationale, Quebec",,,,,,,,65.2
2016,"Chaudière-Appalaches, Quebec",,,,,,,,61.3
2016,"Estrie, Quebec",,,,,,,,56.4
2016,"Centre-du-Québec, Quebec",,,,,,,,60.5
2016,"Montérégie, Quebec",,,,,,,,61.3
2016,"Montréal, Quebec",,,,,,,,59.4
2016,"Laval, Quebec",,,,,,,,59.9
2016,"Lanaudière, Quebec",,,,,,,,60.0
2016,"Laurentides, Quebec",,,,,,,,62.1
2016,"Outaouais, Quebec",,,,,,,,61.2
2016,"Abitibi-Témiscamingue, Quebec",,,,,,,,60.2
2016,"Mauricie, Quebec",,,,,,,,53.8
2016,"Saguenay-Lac-Saint-Jean, Quebec",,,,,,,,54.6
2016,"Côte-Nord and Nord-du-Québec, Quebec",,,,,,,,59.2
2016,"Ottawa, Ontario",,,,,,,,62.3
2016,"Kingston-Pembroke, Ontario",,,,,,,,55.8
2016,"Muskoka-Kawarthas, Ontario",,,,,,,,51.3
2016,"Toronto, Ontario",,,,,,,,62.0
2016,"Kitchener-Waterloo-Barrie, Ontario",,,,,,,,64.6
2016,"Hamilton-Niagara Peninsula, Ontario",,,,,,,,59.7
2016,"London, Ontario",,,,,,,,59.5
2016,"Windsor-Sarnia, Ontario",,,,,,,,57.2
2016,"Stratford-Bruce Peninsula, Ontario",,,,,,,,59.2
2016,"Northeast, Ontario",,,,,,,,53.8
2016,"Northwest, Ontario",,,,,,,,58.1
2016,"Southeast, Manitoba",,,,,,,,66.4
2016,"South Central and North Central, Manitoba",,,,,,,,63.6
2016,"Southwest, Manitoba",,,,,,,,62.0
2016,"Winnipeg, Manitoba",,,,,,,,64.0
2016,"Interlake, Manitoba",,,,,,,,61.0
2016,"Parklands and Northern, Manitoba",,,,,,,,65.3
2016,"Regina-Moose Mountain, Saskatchewan",,,,,,,,68.9
2016,"Swift Current-Moose Jaw, Saskatchewan",,,,,,,,64.4
2016,"Saskatoon-Biggar, Saskatchewan",,,,,,,,65.1
2016,"Yorkton-Melville, Saskatchewan",,,,,,,,59.2
2016,"Prince Albert and Northern, Saskatchewan",,,,,,,,62.3
2016,"Lethbridge-Medicine Hat, Alberta",,,,,,,,64.5
2016,"Camrose-Drumheller, Alberta",,,,,,,,61.8
2016,"Calgary, Alberta",,,,,,,,66.5
2016,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",,,,,,,,65.4
2016,"Red Deer, Alberta",,,,,,,,64.3
2016,"Edmonton, Alberta",,,,,,,,67.4
2016,"Wood Buffalo-Cold Lake, Alberta",,,,,,,,69.3
2016,"Vancouver Island and Coast, British Columbia",,,,,,,,56.1
2016,"Lower Mainland-Southwest, British Columbia",,,,,,,,63.4
2016,"Thompson-Okanagan, British Columbia",,,,,,,,57.6
2016,"Kootenay, British Columbia",,,,,,,,55.0
2016,"Cariboo, British Columbia",,,,,,,,61.8
2016,"North Coast and Nechako, British Columbia",,,,,,,,63.5
2016,"Northeast, British Columbia",,,,,,,,69.9
2017,"Avalon Peninsula, Newfoundland and Labrador",,,,,,,,55.9
2017,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",,,,,,,,41.4
2017,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",,,,,,,,49.2
2017,"Cape Breton, Nova Scotia",,,,,,,,45.2
2017,"North Shore, Nova Scotia",,,,,,,,53.9
