Year,data.Leadership position,Value
2002,data.Members of national Parliament,21.1
2003,data.Members of national Parliament,20.9
2004,data.Members of national Parliament,21.2
2005,data.Members of national Parliament,21.1
2006,data.Members of national Parliament,20.8
2007,data.Members of national Parliament,20.9
2008,data.Members of national Parliament,21.3
2009,data.Members of national Parliament,22.3
2010,data.Members of national Parliament,21.8
2011,data.Members of national Parliament,24.7
2012,data.Members of national Parliament,24.8
2013,data.Members of national Parliament,24.8
2014,data.Members of national Parliament,24.8
2015,data.Members of national Parliament,25.3
2016,data.Members of national Parliament,26.1
2017,data.Members of national Parliament,27.2
2018,data.Members of national Parliament,27.0
2019,data.Members of national Parliament,27.2
2020,data.Members of national Parliament,29.0
2021,data.Members of national Parliament,29.4
2022,data.Members of national Parliament,30.6
2023,data.Members of national Parliament,30.6
2002,data.Members of federal Cabinet,24.3
2003,data.Members of federal Cabinet,23.7
2004,data.Members of federal Cabinet,28.9
2005,data.Members of federal Cabinet,24.3
2006,data.Members of federal Cabinet,20.8
2007,data.Members of federal Cabinet,20.0
2008,data.Members of federal Cabinet,20.0
2009,data.Members of federal Cabinet,27.0
2010,data.Members of federal Cabinet,25.0
2011,data.Members of federal Cabinet,23.7
2012,data.Members of federal Cabinet,23.7
2013,data.Members of federal Cabinet,25.0
2014,data.Members of federal Cabinet,30.8
2015,data.Members of federal Cabinet,30.8
2016,data.Members of federal Cabinet,50.0
2017,data.Members of federal Cabinet,50.0
2018,data.Members of federal Cabinet,50.0
2019,data.Members of federal Cabinet,48.6
2020,data.Members of federal Cabinet,48.6
2021,data.Members of federal Cabinet,48.6
2022,data.Members of federal Cabinet,48.7
2023,data.Members of federal Cabinet,48.7
2002,data.All management occupations,33.0
2002,data.Legislative and senior management occupations,25.5
2002,data.Specialized middle management occupations,42.1
2002,data.Middle management occupations in retail and wholesale trade and customer services,40.2
2002,"data.Middle management occupations in trades, transportation, production and utilities",16.2
2003,data.All management occupations,34.6
2003,data.Legislative and senior management occupations,24.8
2003,data.Specialized middle management occupations,46.3
2003,data.Middle management occupations in retail and wholesale trade and customer services,40.9
2003,"data.Middle management occupations in trades, transportation, production and utilities",16.9
2004,data.All management occupations,35.4
2004,data.Legislative and senior management occupations,22.1
2004,data.Specialized middle management occupations,47.7
2004,data.Middle management occupations in retail and wholesale trade and customer services,42.1
2004,"data.Middle management occupations in trades, transportation, production and utilities",17.7
2005,data.All management occupations,34.8
2005,data.Legislative and senior management occupations,24.1
2005,data.Specialized middle management occupations,47.5
2005,data.Middle management occupations in retail and wholesale trade and customer services,41.5
2005,"data.Middle management occupations in trades, transportation, production and utilities",16.2
2006,data.All management occupations,35.0
2006,data.Legislative and senior management occupations,26.1
2006,data.Specialized middle management occupations,45.3
2006,data.Middle management occupations in retail and wholesale trade and customer services,42.6
2006,"data.Middle management occupations in trades, transportation, production and utilities",17.2
2007,data.All management occupations,35.6
2007,data.Legislative and senior management occupations,26.1
2007,data.Specialized middle management occupations,47.7
2007,data.Middle management occupations in retail and wholesale trade and customer services,42.2
2007,"data.Middle management occupations in trades, transportation, production and utilities",17.5
2008,data.All management occupations,34.7
