Year,Région,Biens et services (produits),Value
2015,,,1035.264
2015,Toutes les régions,Produits environnementaux,669.059
2015,Toutes les régions,Produits de technologies propres,366.207
2016,,,946.424
2016,Toutes les régions,Produits environnementaux,619.046
2016,Toutes les régions,Produits de technologies propres,327.372
2017,,,1026.612
2017,Toutes les régions,Produits environnementaux,718.022
2017,Toutes les régions,Produits de technologies propres,308.595
2018,,,977.962
2018,Toutes les régions,Produits environnementaux,647.58
2018,Toutes les régions,Produits de technologies propres,330.386
2019,,,1122.255
2019,Toutes les régions,Produits environnementaux,586.736
2019,Toutes les régions,Produits de technologies propres,535.52
2020,,,1013.389
2020,Toutes les régions,Produits environnementaux,473.014
2020,Toutes les régions,Produits de technologies propres,540.375
2021,,,1312.017
2021,Toutes les régions,Produits environnementaux,690.704
2021,Toutes les régions,Produits de technologies propres,621.312
2022,,,1252.392
2022,Toutes les régions,Produits environnementaux,731.638
2022,Toutes les régions,Produits de technologies propres,520.75
2015,Europe,Produits environnementaux et de technologies propres,5.863
2015,Europe,Produits environnementaux,3.773
2015,Europe,Produits de technologies propres,2.09
2015,Amérique du Nord,Produits environnementaux et de technologies propres,47.027
2015,Amérique du Nord,Produits environnementaux,0.866
2015,Amérique du Nord,Produits de technologies propres,46.161
2015,Afrique,Produits environnementaux et de technologies propres,54.445
2015,Afrique,Produits environnementaux,16.184
2015,Afrique,Produits de technologies propres,38.264
2015,Amérique du Sud,Produits environnementaux et de technologies propres,59.309
2015,Amérique du Sud,Produits environnementaux,2.093
2015,Amérique du Sud,Produits de technologies propres,57.215
2015,Amérique Centrale,Produits environnementaux et de technologies propres,10.067
2015,Amérique Centrale,Produits environnementaux,1.236
2015,Amérique Centrale,Produits de technologies propres,8.831
2015,Antilles,Produits environnementaux et de technologies propres,21.327
2015,Antilles,Produits environnementaux,1.569
2015,Antilles,Produits de technologies propres,19.76
2015,Moyen-Orient,Produits environnementaux et de technologies propres,8.263
2015,Moyen-Orient,Produits environnementaux,0.05
2015,Moyen-Orient,Produits de technologies propres,8.213
2015,Océanie,Produits environnementaux et de technologies propres,1.765
2015,Océanie,Produits environnementaux,0.015
2015,Océanie,Produits de technologies propres,1.75
2015,Asie,Produits environnementaux et de technologies propres,827.198
2015,Asie,Produits environnementaux,643.273
2015,Asie,Produits de technologies propres,183.923
2016,Europe,Produits environnementaux et de technologies propres,2.065
2016,Europe,Produits environnementaux,0.02
2016,Europe,Produits de technologies propres,2.044
2016,Amérique du Nord,Produits environnementaux et de technologies propres,44.726
2016,Amérique du Nord,Produits environnementaux,1.819
2016,Amérique du Nord,Produits de technologies propres,42.907
2016,Afrique,Produits environnementaux et de technologies propres,61.242
2016,Afrique,Produits environnementaux,3.641
2016,Afrique,Produits de technologies propres,57.599
2016,Amérique du Sud,Produits environnementaux et de technologies propres,37.531
2016,Amérique du Sud,Produits environnementaux,0.796
2016,Amérique du Sud,Produits de technologies propres,36.735
2016,Amérique Centrale,Produits environnementaux et de technologies propres,5.315
2016,Amérique Centrale,Produits environnementaux,0.005
2016,Amérique Centrale,Produits de technologies propres,5.309
2016,Antilles,Produits environnementaux et de technologies propres,14.376
2016,Antilles,Produits environnementaux,0.578
2016,Antilles,Produits de technologies propres,13.797
